Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Russell Westbrook (17093090),Russell Westbrook,17093090,PG/G/UTIL,11000,NO@WAS 04/16/2021 07:00PM ET,WAS,55.84
C,Nikola Jokic (17093093),Nikola Jokic,17093093,C/UTIL,10900,DEN@HOU 04/16/2021 08:00PM ET,DEN,58.39
PG/SF,Luka Doncic (17093095),Luka Doncic,17093095,PG/SF/F/G/UTIL,10800,NY@DAL 04/16/2021 09:30PM ET,DAL,54.98
C,Karl-Anthony Towns (17093100),Karl-Anthony Towns,17093100,C/UTIL,10700,MIA@MIN 04/16/2021 08:00PM ET,MIN,50.92
PG,James Harden (17093102),James Harden,17093102,PG/G/UTIL,10600,CHA@BKN 04/16/2021 07:30PM ET,BKN,56.62
C,Joel Embiid (17093105),Joel Embiid,17093105,C/UTIL,10500,LAC@PHI 04/16/2021 07:00PM ET,PHI,53.18
PF/C,Zion Williamson (17093111),Zion Williamson,17093111,PF/C/F/UTIL,10000,NO@WAS 04/16/2021 07:00PM ET,NO,43.7
PG/SG,Kyrie Irving (17093107),Kyrie Irving,17093107,PG/SG/G/UTIL,9900,CHA@BKN 04/16/2021 07:30PM ET,BKN,47.01
SF,Kawhi Leonard (17093115),Kawhi Leonard,17093115,SF/F/UTIL,9700,LAC@PHI 04/16/2021 07:00PM ET,LAC,46.28
C,Nikola Vucevic (17093127),Nikola Vucevic,17093127,C/UTIL,9700,MEM@CHI 04/16/2021 08:00PM ET,CHI,48.74
PF,Julius Randle (17093118),Julius Randle,17093118,PF/F/UTIL,9600,NY@DAL 04/16/2021 09:30PM ET,NY,48.19
PG,Damian Lillard (17093121),Damian Lillard,17093121,PG/G/UTIL,9500,POR@SA 04/16/2021 08:30PM ET,POR,48.58
PF,Kevin Durant (17093124),Kevin Durant,17093124,PF/F/UTIL,9400,CHA@BKN 04/16/2021 07:30PM ET,BKN,48.51
SF,Jimmy Butler (17093129),Jimmy Butler,17093129,SF/F/UTIL,9200,MIA@MIN 04/16/2021 08:00PM ET,MIA,45.8
SG,Paul George (17093132),Paul George,17093132,SG/G/UTIL,9100,LAC@PHI 04/16/2021 07:00PM ET,LAC,42.69
SG,Zach LaVine (17093135),Zach LaVine,17093135,SG/G/UTIL,9000,MEM@CHI 04/16/2021 08:00PM ET,CHI,44.11
SG,Bradley Beal (17093138),Bradley Beal,17093138,SG/G/UTIL,8900,NO@WAS 04/16/2021 07:00PM ET,WAS,46.75
PF/C,Kristaps Porzingis (17093141),Kristaps Porzingis,17093141,PF/C/F/UTIL,8800,NY@DAL 04/16/2021 09:30PM ET,DAL,39.72
PF,Pascal Siakam (17093145),Pascal Siakam,17093145,PF/F/UTIL,8700,ORL@TOR 04/16/2021 07:30PM ET,TOR,40.38
SF,Brandon Ingram (17093148),Brandon Ingram,17093148,SF/F/UTIL,8500,NO@WAS 04/16/2021 07:00PM ET,NO,40.30
C,Bam Adebayo (17093155),Bam Adebayo,17093155,C/UTIL,8400,MIA@MIN 04/16/2021 08:00PM ET,MIA,42.45
PF/C,Christian Wood (17093151),Christian Wood,17093151,PF/C/F/UTIL,8300,DEN@HOU 04/16/2021 08:00PM ET,HOU,40.52
PG,John Wall (17093157),John Wall,17093157,PG/G/UTIL,8200,DEN@HOU 04/16/2021 08:00PM ET,HOU,38.78
PG/SG,Terry Rozier (17093160),Terry Rozier,17093160,PG/SG/G/UTIL,8100,CHA@BKN 04/16/2021 07:30PM ET,CHA,34.90
PG/SG,CJ McCollum (17093164),CJ McCollum,17093164,PG/SG/G/UTIL,8000,POR@SA 04/16/2021 08:30PM ET,POR,39.60
PG/SG,Fred VanVleet (17093170),Fred VanVleet,17093170,PG/SG/G/UTIL,7900,ORL@TOR 04/16/2021 07:30PM ET,TOR,40.08
C,Jonas Valanciunas (17093168),Jonas Valanciunas,17093168,C/UTIL,7900,MEM@CHI 04/16/2021 08:00PM ET,MEM,38.78
SF,DeMar DeRozan (17093174),DeMar DeRozan,17093174,SF/F/UTIL,7900,POR@SA 04/16/2021 08:30PM ET,SA,39.11
PG,Ben Simmons (17093177),Ben Simmons,17093177,PG/G/UTIL,7800,LAC@PHI 04/16/2021 07:00PM ET,PHI,38.57
PG/SG,Shai Gilgeous-Alexander (17093180),Shai Gilgeous-Alexander,17093180,PG/SG/G/UTIL,7700,OKC@DET 04/16/2021 07:00PM ET,OKC,41
PG,Kyle Lowry (17093184),Kyle Lowry,17093184,PG/G/UTIL,7700,ORL@TOR 04/16/2021 07:30PM ET,TOR,37.79
PG/SG,Jamal Murray (17093187),Jamal Murray,17093187,PG/SG/G/UTIL,7600,DEN@HOU 04/16/2021 08:00PM ET,DEN,36.94
SF/PF,Tobias Harris (17093191),Tobias Harris,17093191,SF/PF/F/UTIL,7600,LAC@PHI 04/16/2021 07:00PM ET,PHI,38.61
PG,Lonzo Ball (17093195),Lonzo Ball,17093195,PG/G/UTIL,7500,NO@WAS 04/16/2021 07:00PM ET,NO,32.77
SG/SF,Anthony Edwards (17093198),Anthony Edwards,17093198,SG/SF/F/G/UTIL,7500,MIA@MIN 04/16/2021 08:00PM ET,MIN,30.73
SF/PF,Michael Porter Jr. (17093203),Michael Porter Jr.,17093203,SF/PF/F/UTIL,7400,DEN@HOU 04/16/2021 08:00PM ET,DEN,33.02
PF,Gordon Hayward (17093207),Gordon Hayward,17093207,PF/F/UTIL,7300,CHA@BKN 04/16/2021 07:30PM ET,CHA,36.11
SF/PF,OG Anunoby (17093210),OG Anunoby,17093210,SF/PF/F/UTIL,7200,ORL@TOR 04/16/2021 07:30PM ET,TOR,29.86
C,Chris Boucher (17093217),Chris Boucher,17093217,C/UTIL,7100,ORL@TOR 04/16/2021 07:30PM ET,TOR,28.98
PG,Ja Morant (17093214),Ja Morant,17093214,PG/G/UTIL,7100,MEM@CHI 04/16/2021 08:00PM ET,MEM,35.66
PG,Dejounte Murray (17093219),Dejounte Murray,17093219,PG/G/UTIL,7000,POR@SA 04/16/2021 08:30PM ET,SA,35.65
PG,LaMelo Ball (17093226),LaMelo Ball,17093226,PG/G/UTIL,6900,CHA@BKN 04/16/2021 07:30PM ET,CHA,36.17
PG/SG,Victor Oladipo (17093222),Victor Oladipo,17093222,PG/SG/G/UTIL,6900,MIA@MIN 04/16/2021 08:00PM ET,MIA,36.24
PG/SG,Kevin Porter Jr. (17093229),Kevin Porter Jr.,17093229,PG/SG/G/UTIL,6800,DEN@HOU 04/16/2021 08:00PM ET,HOU,32.08
PF,Jerami Grant (17093235),Jerami Grant,17093235,PF/F/UTIL,6700,OKC@DET 04/16/2021 07:00PM ET,DET,36.61
C,Jaren Jackson Jr. (17093233),Jaren Jackson Jr.,17093233,C/UTIL,6700,MEM@CHI 04/16/2021 08:00PM ET,MEM,0
C,Kelly Olynyk (17093238),Kelly Olynyk,17093238,C/UTIL,6500,DEN@HOU 04/16/2021 08:00PM ET,HOU,26.58
PG/SG,D'Angelo Russell (17093240),D'Angelo Russell,17093240,PG/SG/G/UTIL,6500,MIA@MIN 04/16/2021 08:00PM ET,MIN,33.14
SF/PF,Miles Bridges (17093244),Miles Bridges,17093244,SF/PF/F/UTIL,6400,CHA@BKN 04/16/2021 07:30PM ET,CHA,23.96
PG/SG,Devonte' Graham (17093248),Devonte' Graham,17093248,PG/SG/G/UTIL,6400,CHA@BKN 04/16/2021 07:30PM ET,CHA,28.40
SG/SF,Terrence Ross (17093252),Terrence Ross,17093252,SG/SF/F/G/UTIL,6300,ORL@TOR 04/16/2021 07:30PM ET,ORL,26.82
SG/SF,Josh Hart (17093263),Josh Hart,17093263,SG/SF/F/G/UTIL,6200,NO@WAS 04/16/2021 07:00PM ET,NO,25.24
SF,RJ Barrett (17093271),RJ Barrett,17093271,SF/F/UTIL,6200,NY@DAL 04/16/2021 09:30PM ET,NY,30.74
C,Wendell Carter Jr. (17093257),Wendell Carter Jr.,17093257,C/UTIL,6200,ORL@TOR 04/16/2021 07:30PM ET,ORL,27.61
PG,Malachi Flynn (17093268),Malachi Flynn,17093268,PG/G/UTIL,6200,ORL@TOR 04/16/2021 07:30PM ET,TOR,13.40
SF/PF,Jae'Sean Tate (17093274),Jae'Sean Tate,17093274,SF/PF/F/UTIL,6200,DEN@HOU 04/16/2021 08:00PM ET,HOU,24.02
PG/SG,Derrick White (17093259),Derrick White,17093259,PG/SG/G/UTIL,6200,POR@SA 04/16/2021 08:30PM ET,SA,27.23
PG,Nickeil Alexander-Walker (17093280),Nickeil Alexander-Walker,17093280,PG/G/UTIL,6100,NO@WAS 04/16/2021 07:00PM ET,NO,20.12
C,Moses Brown (17093278),Moses Brown,17093278,C/UTIL,6100,OKC@DET 04/16/2021 07:00PM ET,OKC,23.66
SG/SF,Gary Trent Jr. (17093285),Gary Trent Jr.,17093285,SG/SF/F/G/UTIL,6100,ORL@TOR 04/16/2021 07:30PM ET,TOR,23.94
C,Enes Kanter (17093283),Enes Kanter,17093283,C/UTIL,6100,POR@SA 04/16/2021 08:30PM ET,POR,31.42
PF,Rui Hachimura (17093296),Rui Hachimura,17093296,PF/F/UTIL,6000,NO@WAS 04/16/2021 07:00PM ET,WAS,24.93
SG,Eric Bledsoe (17093299),Eric Bledsoe,17093299,SG/G/UTIL,6000,NO@WAS 04/16/2021 07:00PM ET,NO,23.88
PF/C,Robert Covington (17093290),Robert Covington,17093290,PF/C/F/UTIL,6000,POR@SA 04/16/2021 08:30PM ET,POR,26.28
C,Jakob Poeltl (17093294),Jakob Poeltl,17093294,C/UTIL,6000,POR@SA 04/16/2021 08:30PM ET,SA,25.00
C,Al Horford (17093306),Al Horford,17093306,C/UTIL,5900,OKC@DET 04/16/2021 07:00PM ET,OKC,31.82
SF/PF,Aleksej Pokusevski (17093311),Aleksej Pokusevski,17093311,SF/PF/F/UTIL,5900,OKC@DET 04/16/2021 07:00PM ET,OKC,19.07
PG/SG,Reggie Jackson (17093302),Reggie Jackson,17093302,PG/SG/G/UTIL,5900,LAC@PHI 04/16/2021 07:00PM ET,LAC,20.05
PF,Kyle Anderson (17093308),Kyle Anderson,17093308,PF/F/UTIL,5900,MEM@CHI 04/16/2021 08:00PM ET,MEM,29.16
SG/SF,Malik Beasley (17093315),Malik Beasley,17093315,SG/SF/F/G/UTIL,5900,MIA@MIN 04/16/2021 08:00PM ET,MIN,31.53
SG/SF,Will Barton (17093367),Will Barton,17093367,SG/SF/F/G/UTIL,5800,DEN@HOU 04/16/2021 08:00PM ET,DEN,25.24
SG/SF,Norman Powell (17093320),Norman Powell,17093320,SG/SF/F/G/UTIL,5800,POR@SA 04/16/2021 08:30PM ET,POR,28.89
SG/SF,Kenrich Williams (17093331),Kenrich Williams,17093331,SG/SF/F/G/UTIL,5700,OKC@DET 04/16/2021 07:00PM ET,OKC,17.50
SF/PF,Aaron Gordon (17093327),Aaron Gordon,17093327,SF/PF/F/UTIL,5700,DEN@HOU 04/16/2021 08:00PM ET,DEN,29.76
C,Ivica Zubac (17093325),Ivica Zubac,17093325,C/UTIL,5700,LAC@PHI 04/16/2021 07:00PM ET,LAC,22.34
SG/SF,Joe Harris (17093347),Joe Harris,17093347,SG/SF/F/G/UTIL,5600,CHA@BKN 04/16/2021 07:30PM ET,BKN,24.21
PF,Darius Bazley (17093336),Darius Bazley,17093336,PF/F/UTIL,5600,OKC@DET 04/16/2021 07:00PM ET,OKC,25.95
SF/PF,Marcus Morris Sr. (17093339),Marcus Morris Sr.,17093339,SF/PF/F/UTIL,5600,LAC@PHI 04/16/2021 07:00PM ET,LAC,22.18
PF/C,Thaddeus Young (17093343),Thaddeus Young,17093343,PF/C/F/UTIL,5600,MEM@CHI 04/16/2021 08:00PM ET,CHI,29.16
