Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Russell Westbrook (17144207),Russell Westbrook,17144207,PG/G/UTIL,11000,OKC@WAS 04/19/2021 08:00PM ET,WAS,56.12
C,Nikola Jokic (17144210),Nikola Jokic,17144210,C/UTIL,11000,MEM@DEN 04/19/2021 09:00PM ET,DEN,58.51
C,Joel Embiid (17144212),Joel Embiid,17144212,C/UTIL,10700,GS@PHI 04/19/2021 07:30PM ET,PHI,53.29
PF/C,Giannis Antetokounmpo (17144214),Giannis Antetokounmpo,17144214,PF/C/F/UTIL,10600,PHO@MIL 04/19/2021 08:00PM ET,MIL,56.70
PG,Stephen Curry (17144218),Stephen Curry,17144218,PG/G/UTIL,10500,GS@PHI 04/19/2021 07:30PM ET,GS,50.68
PF,Jayson Tatum (17144221),Jayson Tatum,17144221,PF/F/UTIL,10000,CHI@BOS 04/19/2021 07:30PM ET,BOS,45.05
C,Nikola Vucevic (17144224),Nikola Vucevic,17144224,C/UTIL,9900,CHI@BOS 04/19/2021 07:30PM ET,CHI,48.78
PG,LeBron James (17144226),LeBron James,17144226,PG/G/UTIL,9800,UTA@LAL 04/19/2021 10:00PM ET,LAL,50.71
SF,Jimmy Butler (17144229),Jimmy Butler,17144229,SF/F/UTIL,9600,HOU@MIA 04/19/2021 08:00PM ET,MIA,46.23
PG/SG,Donovan Mitchell (17144232),Donovan Mitchell,17144232,PG/SG/G/UTIL,9500,UTA@LAL 04/19/2021 10:00PM ET,UTA,42.69
PF/C,Domantas Sabonis (17144236),Domantas Sabonis,17144236,PF/C/F/UTIL,9400,SA@IND 04/19/2021 08:00PM ET,IND,46.95
PF/C,Anthony Davis (17144240),Anthony Davis,17144240,PF/C/F/UTIL,9300,UTA@LAL 04/19/2021 10:00PM ET,LAL,43.75
SG,Bradley Beal (17144244),Bradley Beal,17144244,SG/G/UTIL,9200,OKC@WAS 04/19/2021 08:00PM ET,WAS,46.72
SG,Zach LaVine (17144247),Zach LaVine,17144247,SG/G/UTIL,9100,CHI@BOS 04/19/2021 07:30PM ET,CHI,44.11
SG,Devin Booker (17144250),Devin Booker,17144250,SG/G/UTIL,8800,PHO@MIL 04/19/2021 08:00PM ET,PHO,39.09
PF/C,Christian Wood (17144253),Christian Wood,17144253,PF/C/F/UTIL,8600,HOU@MIA 04/19/2021 08:00PM ET,HOU,40.14
SG/SF,Jaylen Brown (17144257),Jaylen Brown,17144257,SG/SF/F/G/UTIL,8400,CHI@BOS 04/19/2021 07:30PM ET,BOS,40.73
PG/SG,Jrue Holiday (17144262),Jrue Holiday,17144262,PG/SG/G/UTIL,8300,PHO@MIL 04/19/2021 08:00PM ET,MIL,35.51
SG/SF,Khris Middleton (17144266),Khris Middleton,17144266,SG/SF/F/G/UTIL,8200,PHO@MIL 04/19/2021 08:00PM ET,MIL,38.65
C,Bam Adebayo (17144271),Bam Adebayo,17144271,C/UTIL,8100,HOU@MIA 04/19/2021 08:00PM ET,MIA,42.28
C,Rudy Gobert (17144273),Rudy Gobert,17144273,C/UTIL,8100,UTA@LAL 04/19/2021 10:00PM ET,UTA,40.35
SF,DeMar DeRozan (17144275),DeMar DeRozan,17144275,SF/F/UTIL,8000,SA@IND 04/19/2021 08:00PM ET,SA,39.35
C,Jonas Valanciunas (17144278),Jonas Valanciunas,17144278,C/UTIL,8000,MEM@DEN 04/19/2021 09:00PM ET,MEM,38.54
PG,John Wall (17144280),John Wall,17144280,PG/G/UTIL,7900,HOU@MIA 04/19/2021 08:00PM ET,HOU,38.05
