Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Mamadi Diakite (17074902),Mamadi Diakite,17074902,C/UTIL,3200,MIL@ATL 04/15/2021 07:30PM ET,MIL,8.22
PG/SG,Sam Merrill (17074904),Sam Merrill,17074904,PG/SG/G/UTIL,3200,MIL@ATL 04/15/2021 07:30PM ET,MIL,6.45
PG,Damyean Dotson (17074889),Damyean Dotson,17074889,PG/G/UTIL,3200,GS@CLE 04/15/2021 08:00PM ET,CLE,13.27
PG,Nico Mannion (17074892),Nico Mannion,17074892,PG/G/UTIL,3200,GS@CLE 04/15/2021 08:00PM ET,GS,11.76
SG/SF,Torrey Craig (17074897),Torrey Craig,17074897,SG/SF/F/G/UTIL,3200,SAC@PHO 04/15/2021 10:00PM ET,PHO,11.56
SG,Axel Toupane (17074927),Axel Toupane,17074927,SG/G/UTIL,3100,MIL@ATL 04/15/2021 07:30PM ET,MIL,4.75
SG,Dylan Windler (17074908),Dylan Windler,17074908,SG/G/UTIL,3100,GS@CLE 04/15/2021 08:00PM ET,CLE,13.06
PF/C,Alen Smailagic (17074911),Alen Smailagic,17074911,PF/C/F/UTIL,3100,GS@CLE 04/15/2021 08:00PM ET,GS,4.92
SG/SF,Damion Lee (17074930),Damion Lee,17074930,SG/SF/F/G/UTIL,3100,GS@CLE 04/15/2021 08:00PM ET,GS,14.26
PG,Gary Payton II (17074935),Gary Payton II,17074935,PG/G/UTIL,3100,GS@CLE 04/15/2021 08:00PM ET,GS,8.33
SG/SF,Wesley Matthews (17074915),Wesley Matthews,17074915,SG/SF/F/G/UTIL,3100,BOS@LAL 04/15/2021 10:00PM ET,LAL,10.62
PG/SG,Jevon Carter (17074920),Jevon Carter,17074920,PG/SG/G/UTIL,3100,SAC@PHO 04/15/2021 10:00PM ET,PHO,8.40
PG,Ty-Shon Alexander (17074924),Ty-Shon Alexander,17074924,PG/G/UTIL,3100,SAC@PHO 04/15/2021 10:00PM ET,PHO,1.22
PF/C,Chimezie Metu (17074938),Chimezie Metu,17074938,PF/C/F/UTIL,3100,SAC@PHO 04/15/2021 10:00PM ET,SAC,9.58
PG/SG,Kyle Guy (17074942),Kyle Guy,17074942,PG/SG/G/UTIL,3100,SAC@PHO 04/15/2021 10:00PM ET,SAC,5.96
SF/PF,Tony Snell (17074946),Tony Snell,17074946,SF/PF/F/UTIL,3000,MIL@ATL 04/15/2021 07:30PM ET,ATL,11.75
PG/SG,Kris Dunn (17074950),Kris Dunn,17074950,PG/SG/G/UTIL,3000,MIL@ATL 04/15/2021 07:30PM ET,ATL,0
SG,Skylar Mays (17074954),Skylar Mays,17074954,SG/G/UTIL,3000,MIL@ATL 04/15/2021 07:30PM ET,ATL,6.55
C,Nathan Knight (17074957),Nathan Knight,17074957,C/UTIL,3000,MIL@ATL 04/15/2021 07:30PM ET,ATL,7.66
C,Bruno Fernando (17074959),Bruno Fernando,17074959,C/UTIL,3000,MIL@ATL 04/15/2021 07:30PM ET,ATL,5.02
SF/PF,P.J. Tucker (17074998),P.J. Tucker,17074998,SF/PF/F/UTIL,3000,MIL@ATL 04/15/2021 07:30PM ET,MIL,14.12
SF/PF,Rodions Kurucs (17075002),Rodions Kurucs,17075002,SF/PF/F/UTIL,3000,MIL@ATL 04/15/2021 07:30PM ET,MIL,5.04
C,Mfiondu Kabengele (17074961),Mfiondu Kabengele,17074961,C/UTIL,3000,GS@CLE 04/15/2021 08:00PM ET,CLE,3.11
SF,Lamar Stevens (17074963),Lamar Stevens,17074963,SF/F/UTIL,3000,GS@CLE 04/15/2021 08:00PM ET,CLE,9.92
SF,Klay Thompson (17075006),Klay Thompson,17075006,SF/F/UTIL,3000,GS@CLE 04/15/2021 08:00PM ET,GS,0
