Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,James Harden (17161316),James Harden,17161316,PG/G/UTIL,10800,BKN@NO 04/20/2021 07:30PM ET,BKN,56.62
C,Karl-Anthony Towns (17161319),Karl-Anthony Towns,17161319,C/UTIL,10600,MIN@SAC 04/20/2021 10:00PM ET,MIN,50.04
PF/C,Julius Randle (17161321),Julius Randle,17161321,PF/C/F/UTIL,10100,CHA@NY 04/20/2021 07:30PM ET,NY,48.93
PG/SG,Kyrie Irving (17161325),Kyrie Irving,17161325,PG/SG/G/UTIL,9900,BKN@NO 04/20/2021 07:30PM ET,BKN,46.57
PG,De'Aaron Fox (17161329),De'Aaron Fox,17161329,PG/G/UTIL,9800,MIN@SAC 04/20/2021 10:00PM ET,SAC,44.03
PF/C,Zion Williamson (17161332),Zion Williamson,17161332,PF/C/F/UTIL,9700,BKN@NO 04/20/2021 07:30PM ET,NO,43.65
PG,Damian Lillard (17161336),Damian Lillard,17161336,PG/G/UTIL,9600,LAC@POR 04/20/2021 10:00PM ET,POR,48.58
SG,Paul George (17161339),Paul George,17161339,SG/G/UTIL,9400,LAC@POR 04/20/2021 10:00PM ET,LAC,43.19
PF,Kevin Durant (17161342),Kevin Durant,17161342,PF/F/UTIL,9300,BKN@NO 04/20/2021 07:30PM ET,BKN,46.99
SF,Kawhi Leonard (17161345),Kawhi Leonard,17161345,SF/F/UTIL,9200,LAC@POR 04/20/2021 10:00PM ET,LAC,46.22
C,Clint Capela (17161348),Clint Capela,17161348,C/UTIL,9100,ORL@ATL 04/20/2021 07:30PM ET,ATL,41.34
PG,Trae Young (17161350),Trae Young,17161350,PG/G/UTIL,9000,ORL@ATL 04/20/2021 07:30PM ET,ATL,46.38
PG/SG,CJ McCollum (17161353),CJ McCollum,17161353,PG/SG/G/UTIL,8900,LAC@POR 04/20/2021 10:00PM ET,POR,39.85
SF,Brandon Ingram (17161357),Brandon Ingram,17161357,SF/F/UTIL,8400,BKN@NO 04/20/2021 07:30PM ET,NO,40.46
PG/SG,Terry Rozier (17161360),Terry Rozier,17161360,PG/SG/G/UTIL,8000,CHA@NY 04/20/2021 07:30PM ET,CHA,35.86
SG,Bogdan Bogdanovic (17161364),Bogdan Bogdanovic,17161364,SG/G/UTIL,7800,ORL@ATL 04/20/2021 07:30PM ET,ATL,26.70
SF/PF,Miles Bridges (17161367),Miles Bridges,17161367,SF/PF/F/UTIL,7500,CHA@NY 04/20/2021 07:30PM ET,CHA,24.70
PF,Gordon Hayward (17161371),Gordon Hayward,17161371,PF/F/UTIL,7400,CHA@NY 04/20/2021 07:30PM ET,CHA,36.11
SG/SF,Anthony Edwards (17161374),Anthony Edwards,17161374,SG/SF/F/G/UTIL,7100,MIN@SAC 04/20/2021 10:00PM ET,MIN,30.77
PG,LaMelo Ball (17161379),LaMelo Ball,17161379,PG/G/UTIL,7000,CHA@NY 04/20/2021 07:30PM ET,CHA,36.17
PG,Lonzo Ball (17161382),Lonzo Ball,17161382,PG/G/UTIL,7000,BKN@NO 04/20/2021 07:30PM ET,NO,32.17
PF/C,Richaun Holmes (17161385),Richaun Holmes,17161385,PF/C/F/UTIL,6900,MIN@SAC 04/20/2021 10:00PM ET,SAC,32.46
SG/SF,Buddy Hield (17161389),Buddy Hield,17161389,SG/SF/F/G/UTIL,6800,MIN@SAC 04/20/2021 10:00PM ET,SAC,30.30
SF/PF,Harrison Barnes (17161394),Harrison Barnes,17161394,SF/PF/F/UTIL,6700,MIN@SAC 04/20/2021 10:00PM ET,SAC,31.30
C,Wendell Carter Jr. (17161398),Wendell Carter Jr.,17161398,C/UTIL,6600,ORL@ATL 04/20/2021 07:30PM ET,ORL,27.80
PF/C,John Collins (17161400),John Collins,17161400,PF/C/F/UTIL,6500,ORL@ATL 04/20/2021 07:30PM ET,ATL,33.13
SG/SF,Norman Powell (17161404),Norman Powell,17161404,SG/SF/F/G/UTIL,6400,LAC@POR 04/20/2021 10:00PM ET,POR,28.95
SF,RJ Barrett (17161409),RJ Barrett,17161409,SF/F/UTIL,6300,CHA@NY 04/20/2021 07:30PM ET,NY,30.78
PG/SG,Devonte' Graham (17161412),Devonte' Graham,17161412,PG/SG/G/UTIL,6200,CHA@NY 04/20/2021 07:30PM ET,CHA,28.40
C,Enes Kanter (17161416),Enes Kanter,17161416,C/UTIL,6100,LAC@POR 04/20/2021 10:00PM ET,POR,31.27
PG,Cole Anthony (17161418),Cole Anthony,17161418,PG/G/UTIL,6000,ORL@ATL 04/20/2021 07:30PM ET,ORL,25.02
PG/SG,D'Angelo Russell (17161426),D'Angelo Russell,17161426,PG/SG/G/UTIL,6000,MIN@SAC 04/20/2021 10:00PM ET,MIN,32.29
SG/SF,Josh Hart (17161421),Josh Hart,17161421,SG/SF/F/G/UTIL,6000,BKN@NO 04/20/2021 07:30PM ET,NO,25.24
SG/SF,Malik Beasley (17161433),Malik Beasley,17161433,SG/SF/F/G/UTIL,5900,MIN@SAC 04/20/2021 10:00PM ET,MIN,31.53
PG/SG,Tyrese Haliburton (17161443),Tyrese Haliburton,17161443,PG/SG/G/UTIL,5900,MIN@SAC 04/20/2021 10:00PM ET,SAC,27.95
PG,Nickeil Alexander-Walker (17161430),Nickeil Alexander-Walker,17161430,PG/G/UTIL,5900,BKN@NO 04/20/2021 07:30PM ET,NO,20.12
SG/SF,Joe Harris (17161438),Joe Harris,17161438,SG/SF/F/G/UTIL,5900,BKN@NO 04/20/2021 07:30PM ET,BKN,24.41
SG/SF,Terrence Ross (17161447),Terrence Ross,17161447,SG/SF/F/G/UTIL,5800,ORL@ATL 04/20/2021 07:30PM ET,ORL,26.52
PF/C,Robert Covington (17161454),Robert Covington,17161454,PF/C/F/UTIL,5800,LAC@POR 04/20/2021 10:00PM ET,POR,26.02
C,Hassan Whiteside (17161452),Hassan Whiteside,17161452,C/UTIL,5800,MIN@SAC 04/20/2021 10:00PM ET,SAC,19.48
SG/SF,Kevin Huerter (17161458),Kevin Huerter,17161458,SG/SF/F/G/UTIL,5600,ORL@ATL 04/20/2021 07:30PM ET,ATL,24.92
PG/SG,Reggie Jackson (17161463),Reggie Jackson,17161463,PG/SG/G/UTIL,5600,LAC@POR 04/20/2021 10:00PM ET,LAC,20.25
C,Jusuf Nurkic (17161467),Jusuf Nurkic,17161467,C/UTIL,5600,LAC@POR 04/20/2021 10:00PM ET,POR,26.59
PF,Danilo Gallinari (17161473),Danilo Gallinari,17161473,PF/F/UTIL,5500,ORL@ATL 04/20/2021 07:30PM ET,ATL,22.70
PF/C,Chuma Okeke (17161476),Chuma Okeke,17161476,PF/C/F/UTIL,5500,ORL@ATL 04/20/2021 07:30PM ET,ORL,18.61
PF,Jalen McDaniels (17161480),Jalen McDaniels,17161480,PF/F/UTIL,5500,CHA@NY 04/20/2021 07:30PM ET,CHA,12.40
SF/PF,Marcus Morris Sr. (17161469),Marcus Morris Sr.,17161469,SF/PF/F/UTIL,5500,LAC@POR 04/20/2021 10:00PM ET,LAC,22.40
PF/C,PJ Washington (17161483),PJ Washington,17161483,PF/C/F/UTIL,5400,CHA@NY 04/20/2021 07:30PM ET,CHA,28.37
C,Ivica Zubac (17161487),Ivica Zubac,17161487,C/UTIL,5300,LAC@POR 04/20/2021 10:00PM ET,LAC,22.17
SG,Eric Bledsoe (17161489),Eric Bledsoe,17161489,SG/G/UTIL,5300,BKN@NO 04/20/2021 07:30PM ET,NO,23.96
C,Steven Adams (17161492),Steven Adams,17161492,C/UTIL,5200,BKN@NO 04/20/2021 07:30PM ET,NO,25.01
PG/SG,Derrick Rose (17161494),Derrick Rose,17161494,PG/SG/G/UTIL,5100,CHA@NY 04/20/2021 07:30PM ET,NY,24.92
SF/PF,Nicolas Batum (17161498),Nicolas Batum,17161498,SF/PF/F/UTIL,5000,LAC@POR 04/20/2021 10:00PM ET,LAC,21.9
PG,Ricky Rubio (17161507),Ricky Rubio,17161507,PG/G/UTIL,5000,MIN@SAC 04/20/2021 10:00PM ET,MIN,24.95
SG/SF,Naji Marshall (17161502),Naji Marshall,17161502,SG/SF/F/G/UTIL,5000,BKN@NO 04/20/2021 07:30PM ET,NO,14.97
PF/C,Blake Griffin (17161510),Blake Griffin,17161510,PF/C/F/UTIL,5000,BKN@NO 04/20/2021 07:30PM ET,BKN,23.80
SF/PF,Otto Porter Jr. (17161518),Otto Porter Jr.,17161518,SF/PF/F/UTIL,4900,ORL@ATL 04/20/2021 07:30PM ET,ORL,21.20
SF,De'Andre Hunter (17161524),De'Andre Hunter,17161524,SF/F/UTIL,4900,ORL@ATL 04/20/2021 07:30PM ET,ATL,28.5
C,Serge Ibaka (17161522),Serge Ibaka,17161522,C/UTIL,4900,LAC@POR 04/20/2021 10:00PM ET,LAC,24.86
PF/C,Marvin Bagley III (17161514),Marvin Bagley III,17161514,PF/C/F/UTIL,4900,MIN@SAC 04/20/2021 10:00PM ET,SAC,26.78
PG/SF,Bruce Brown (17161527),Bruce Brown,17161527,PG/SF/F/G/UTIL,4900,BKN@NO 04/20/2021 07:30PM ET,BKN,19.43
PF/C,Jeff Green (17161532),Jeff Green,17161532,PF/C/F/UTIL,4800,BKN@NO 04/20/2021 07:30PM ET,BKN,19.21
SF,James Ennis III (17161536),James Ennis III,17161536,SF/F/UTIL,4700,ORL@ATL 04/20/2021 07:30PM ET,ORL,18.06
PG,Michael Carter-Williams (17161539),Michael Carter-Williams,17161539,PG/G/UTIL,4600,ORL@ATL 04/20/2021 07:30PM ET,ORL,22.52
C,Mo Bamba (17161542),Mo Bamba,17161542,C/UTIL,4600,ORL@ATL 04/20/2021 07:30PM ET,ORL,15.43
SF/PF,Solomon Hill (17161555),Solomon Hill,17161555,SF/PF/F/UTIL,4600,ORL@ATL 04/20/2021 07:30PM ET,ATL,11.57
SF,Alec Burks (17161548),Alec Burks,17161548,SF/F/UTIL,4600,CHA@NY 04/20/2021 07:30PM ET,NY,23.96
PG/SG,Terance Mann (17161551),Terance Mann,17161551,PG/SG/G/UTIL,4600,LAC@POR 04/20/2021 10:00PM ET,LAC,14.84
SF/PF,James Johnson (17161544),James Johnson,17161544,SF/PF/F/UTIL,4600,BKN@NO 04/20/2021 07:30PM ET,NO,17.23
PG/SG,Lou Williams (17161569),Lou Williams,17161569,PG/SG/G/UTIL,4500,ORL@ATL 04/20/2021 07:30PM ET,ATL,21.20
C,Nerlens Noel (17161559),Nerlens Noel,17161559,C/UTIL,4500,CHA@NY 04/20/2021 07:30PM ET,NY,19.88
SG/SF,Reggie Bullock (17161561),Reggie Bullock,17161561,SG/SF/F/G/UTIL,4500,CHA@NY 04/20/2021 07:30PM ET,NY,18.86
SG,Malik Monk (17161566),Malik Monk,17161566,SG/G/UTIL,4500,CHA@NY 04/20/2021 07:30PM ET,CHA,20.88
PG,Cam Reddish (17161579),Cam Reddish,17161579,PG/G/UTIL,4400,ORL@ATL 04/20/2021 07:30PM ET,ATL,21.46
SG/SF,Gary Harris (17161582),Gary Harris,17161582,SG/SF/F/G/UTIL,4400,ORL@ATL 04/20/2021 07:30PM ET,ORL,18.21
C,Mitchell Robinson (17161587),Mitchell Robinson,17161587,C/UTIL,4400,CHA@NY 04/20/2021 07:30PM ET,NY,24.23
PF,Carmelo Anthony (17161573),Carmelo Anthony,17161573,PF/F/UTIL,4400,LAC@POR 04/20/2021 10:00PM ET,POR,22.96
SG,Landry Shamet (17161576),Landry Shamet,17161576,SG/G/UTIL,4400,BKN@NO 04/20/2021 07:30PM ET,BKN,15.29
PG,Elfrid Payton (17161589),Elfrid Payton,17161589,PG/G/UTIL,4300,CHA@NY 04/20/2021 07:30PM ET,NY,22.81
SG/SF,Caleb Martin (17161592),Caleb Martin,17161592,SG/SF/F/G/UTIL,4300,CHA@NY 04/20/2021 07:30PM ET,CHA,12.20
SG/SF,Dwayne Bacon (17161597),Dwayne Bacon,17161597,SG/SF/F/G/UTIL,4200,ORL@ATL 04/20/2021 07:30PM ET,ORL,17.42
C,DeMarcus Cousins (17161605),DeMarcus Cousins,17161605,C/UTIL,4200,LAC@POR 04/20/2021 10:00PM ET,LAC,23.51
PG,Isaiah Thomas (17161602),Isaiah Thomas,17161602,PG/G/UTIL,4200,BKN@NO 04/20/2021 07:30PM ET,NO,12
SF,Cody Martin (17161609),Cody Martin,17161609,SF/F/UTIL,4100,CHA@NY 04/20/2021 07:30PM ET,CHA,10.78
PG,Rajon Rondo (17161616),Rajon Rondo,17161616,PG/G/UTIL,4100,LAC@POR 04/20/2021 10:00PM ET,LAC,14.05
C,Naz Reid (17161607),Naz Reid,17161607,C/UTIL,4100,MIN@SAC 04/20/2021 10:00PM ET,MIN,21.54
PG/SG,Delon Wright (17161612),Delon Wright,17161612,PG/SG/G/UTIL,4100,MIN@SAC 04/20/2021 10:00PM ET,SAC,25.00
C,Vernon Carey Jr. (17161626),Vernon Carey Jr.,17161626,C/UTIL,4000,CHA@NY 04/20/2021 07:30PM ET,CHA,4.94
PG/SG,Jaylen Nowell (17161619),Jaylen Nowell,17161619,PG/SG/G/UTIL,4000,MIN@SAC 04/20/2021 10:00PM ET,MIN,16.65
PG,Chris Chiozza (17161623),Chris Chiozza,17161623,PG/G/UTIL,4000,BKN@NO 04/20/2021 07:30PM ET,BKN,10.98
PG/SG,R.J. Hampton (17161628),R.J. Hampton,17161628,PG/SG/G/UTIL,3900,ORL@ATL 04/20/2021 07:30PM ET,ORL,10.25
C,Cody Zeller (17161639),Cody Zeller,17161639,C/UTIL,3900,CHA@NY 04/20/2021 07:30PM ET,CHA,22.75
SG/SF,Luke Kennard (17161632),Luke Kennard,17161632,SG/SF/F/G/UTIL,3900,LAC@POR 04/20/2021 10:00PM ET,LAC,15.40
PF,Jaden McDaniels (17161641),Jaden McDaniels,17161641,PF/F/UTIL,3900,MIN@SAC 04/20/2021 10:00PM ET,MIN,16.13
C,DeAndre Jordan (17161637),DeAndre Jordan,17161637,C/UTIL,3900,BKN@NO 04/20/2021 07:30PM ET,BKN,21.71
PG,Brandon Goodwin (17161654),Brandon Goodwin,17161654,PG/G/UTIL,3800,ORL@ATL 04/20/2021 07:30PM ET,ATL,9.68
PF/C,Taj Gibson (17161644),Taj Gibson,17161644,PF/C/F/UTIL,3800,CHA@NY 04/20/2021 07:30PM ET,NY,16.27
PG/SG,Anfernee Simons (17161648),Anfernee Simons,17161648,PG/SG/G/UTIL,3800,LAC@POR 04/20/2021 10:00PM ET,POR,14.06
C,Nicolas Claxton (17161652),Nicolas Claxton,17161652,C/UTIL,3800,BKN@NO 04/20/2021 07:30PM ET,BKN,18.04
PG,Brad Wanamaker (17161660),Brad Wanamaker,17161660,PG/G/UTIL,3700,CHA@NY 04/20/2021 07:30PM ET,CHA,12.88
SF,Josh Okogie (17161657),Josh Okogie,17161657,SF/F/UTIL,3700,MIN@SAC 04/20/2021 10:00PM ET,MIN,13.01
C,Bismack Biyombo (17161668),Bismack Biyombo,17161668,C/UTIL,3600,CHA@NY 04/20/2021 07:30PM ET,CHA,16.10
PF,Moe Harkless (17161663),Moe Harkless,17161663,PF/F/UTIL,3600,MIN@SAC 04/20/2021 10:00PM ET,SAC,9.40
PF,Juancho Hernangomez (17161670),Juancho Hernangomez,17161670,PF/F/UTIL,3600,MIN@SAC 04/20/2021 10:00PM ET,MIN,13.81
C,Guillermo Hernangomez (17161666),Guillermo Hernangomez,17161666,C/UTIL,3600,BKN@NO 04/20/2021 07:30PM ET,NO,17.36
PG,Jordan McLaughlin (17161673),Jordan McLaughlin,17161673,PG/G/UTIL,3500,MIN@SAC 04/20/2021 10:00PM ET,MIN,16.68
C,Jaxson Hayes (17161676),Jaxson Hayes,17161676,C/UTIL,3500,BKN@NO 04/20/2021 07:30PM ET,NO,13.35
PG/SG,Immanuel Quickley (17161678),Immanuel Quickley,17161678,PG/SG/G/UTIL,3400,CHA@NY 04/20/2021 07:30PM ET,NY,19.30
