team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
PHILADELPHIA 76ERS,240,39,80,12,31,23,33,6,34,24,9,4,9,20
DALLAS MAVERICKS,240,35,83,9,36,16,20,11,35,16,7,3,15,24
DENVER NUGGETS,240,39,83,8,26,21,25,10,31,23,11,2,19,24
GOLDEN STATE WARRIORS,240,39,81,18,44,20,22,4,32,23,11,3,16,22
CHICAGO BULLS,240,36,86,5,31,13,17,8,32,23,8,3,17,16
MEMPHIS GRIZZLIES,240,40,85,9,28,12,14,10,41,27,7,7,20,20
SACRAMENTO KINGS,240,39,90,10,35,22,37,8,26,21,14,3,10,26
NEW ORLEANS PELICANS,240,42,77,6,19,27,39,9,42,24,8,5,21,23
LOS ANGELES LAKERS,240,35,80,12,36,14,18,4,29,22,5,7,24,21
NEW YORK KNICKS,240,42,89,5,27,22,27,15,32,18,14,9,15,20
SAN ANTONIO SPURS,240,48,93,10,25,14,18,12,35,30,6,5,9,26
ORLANDO MAGIC,240,36,80,5,20,20,32,11,33,15,6,2,15,17
HOUSTON ROCKETS,240,44,87,17,42,15,19,12,39,32,9,3,21,15
PHOENIX SUNS,240,45,94,25,45,11,18,12,30,33,14,3,13,18
WASHINGTON WIZARDS,240,47,90,9,19,22,28,8,36,29,7,4,7,27
UTAH JAZZ,240,41,85,15,36,24,31,9,34,21,2,3,14,23
