team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
ATLANTA HAWKS,240,44,77,8,24,26,31,8,29,19,8,2,14,18
BOSTON CELTICS,240,40,86,10,31,24,27,11,26,22,9,3,16,27
DETROIT PISTONS,240,37,82,8,28,20,24,6,34,15,9,2,13,21
CHICAGO BULLS,240,41,85,8,28,15,24,8,38,29,8,7,13,20
MIAMI HEAT,265,44,97,13,36,11,12,7,42,28,8,5,15,22
GOLDEN STATE WARRIORS,265,43,95,18,52,16,21,9,37,32,10,1,16,19
UTAH JAZZ,240,42,98,13,40,17,20,17,36,19,12,3,13,15
LOS ANGELES CLIPPERS,240,38,86,9,26,11,17,9,38,18,5,2,16,19
OKLAHOMA CITY THUNDER,240,35,78,19,41,24,28,6,33,25,5,3,18,25
MEMPHIS GRIZZLIES,240,42,83,12,26,26,33,7,37,31,14,4,12,18
INDIANA PACERS,265,49,97,13,26,23,27,10,41,31,5,7,14,18
MINNESOTA TIMBERWOLVES,265,45,107,15,40,23,25,11,33,37,12,8,11,20
PORTLAND TRAIL BLAZERS,240,46,90,18,41,16,18,7,24,26,6,7,9,19
NEW ORLEANS PELICANS,240,43,89,15,32,23,29,18,33,25,5,1,11,15
NEW YORK KNICKS,240,33,87,7,27,16,19,10,36,16,7,5,16,14
ORLANDO MAGIC,240,42,92,16,34,7,10,10,40,27,10,7,12,15
HOUSTON ROCKETS,240,42,92,15,47,14,18,9,30,26,13,6,18,24
PHILADELPHIA 76ERS,240,39,81,12,26,28,32,7,40,23,12,6,20,21
DENVER NUGGETS,240,48,92,17,38,15,18,10,32,23,7,7,11,26
WASHINGTON WIZARDS,240,44,86,15,33,27,34,9,36,31,7,3,12,20
