team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
LOS ANGELES LAKERS,240,33,86,12,45,15,19,6,30,22,11,4,9,22
DALLAS MAVERICKS,240,38,78,13,30,19,25,10,41,26,3,2,16,17
HOUSTON ROCKETS,240,41,82,15,40,19,28,6,29,27,10,1,15,16
DENVER NUGGETS,240,50,84,16,37,13,16,1,35,36,8,8,14,22
DETROIT PISTONS,240,39,96,10,34,21,26,15,47,26,3,7,18,25
INDIANA PACERS,240,40,96,10,32,25,35,9,30,28,10,9,4,21
CHICAGO BULLS,240,38,79,13,38,12,13,6,36,28,7,2,17,20
MIAMI HEAT,240,36,80,14,37,20,24,6,31,22,11,2,10,12
PHILADELPHIA 76ERS,240,31,82,7,31,25,34,10,31,15,11,4,17,20
MILWAUKEE BUCKS,240,49,95,18,40,16,24,16,39,33,10,4,15,28
SAN ANTONIO SPURS,240,37,85,9,31,27,32,9,37,22,9,8,17,23
NEW ORLEANS PELICANS,240,41,87,9,22,17,32,10,38,20,12,1,19,24
TORONTO RAPTORS,240,36,83,17,44,14,19,5,28,31,6,3,7,19
NEW YORK KNICKS,240,42,75,16,31,20,24,5,39,20,4,4,13,17
MINNESOTA TIMBERWOLVES,240,40,92,9,38,12,20,11,36,15,13,2,13,19
UTAH JAZZ,240,33,82,19,47,11,15,9,36,24,9,5,20,21
