team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
INDIANA PACERS,240,42,87,11,35,10,13,9,30,30,7,4,16,13
CHARLOTTE HORNETS,240,43,85,16,37,6,9,9,33,35,7,5,17,13
PHILADELPHIA 76ERS,240,39,87,8,16,32,38,12,39,20,11,6,10,17
MINNESOTA TIMBERWOLVES,240,35,82,10,33,14,18,4,34,20,3,4,18,29
MILWAUKEE BUCKS,240,48,96,13,35,17,22,12,37,29,5,5,12,19
NEW ORLEANS PELICANS,240,45,96,21,48,20,28,12,33,32,7,3,9,16
CLEVELAND CAVALIERS,240,29,84,8,26,15,18,14,29,15,8,5,14,20
NEW YORK KNICKS,240,39,80,10,27,14,16,8,33,20,8,6,13,24
BROOKLYN NETS,240,57,100,19,45,14,16,10,40,33,7,4,11,25
OKLAHOMA CITY THUNDER,240,40,86,16,38,29,34,6,30,23,4,4,12,12
LOS ANGELES CLIPPERS,240,46,94,13,37,11,11,9,40,25,8,5,11,15
ORLANDO MAGIC,240,32,89,10,33,16,18,12,37,20,6,2,17,12
DENVER NUGGETS,240,41,78,14,31,13,20,7,30,25,8,5,15,15
SAN ANTONIO SPURS,240,44,81,10,23,21,26,9,32,29,8,1,12,18
SACRAMENTO KINGS,240,43,78,16,36,24,31,11,27,31,7,5,22,25
TORONTO RAPTORS,240,42,86,13,32,27,33,12,23,20,14,2,15,27
DALLAS MAVERICKS,240,37,86,9,33,18,27,8,32,20,6,4,11,27
UTAH JAZZ,240,38,87,20,48,24,26,17,39,21,8,5,15,25
ATLANTA HAWKS,240,39,87,12,37,26,34,12,35,16,5,4,13,30
WASHINGTON WIZARDS,240,31,85,7,28,31,38,13,34,13,6,4,12,27
