team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
OKLAHOMA CITY THUNDER,240,29,92,7,46,15,23,15,43,11,3,8,18,12
HOUSTON ROCKETS,240,43,100,19,48,9,14,10,45,28,12,3,11,23
PORTLAND TRAIL BLAZERS,240,44,93,13,27,21,26,10,33,20,12,1,19,28
LOS ANGELES LAKERS,240,48,88,14,36,21,26,7,34,27,11,5,17,20
ORLANDO MAGIC,240,37,94,15,41,15,21,8,39,22,3,2,11,23
MILWAUKEE BUCKS,240,40,88,16,45,22,27,7,49,27,5,4,14,19
