team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
NEW YORK KNICKS,240,34,79,14,25,13,21,14,41,23,9,6,25,21
CLEVELAND CAVALIERS,240,32,88,7,32,15,22,14,29,22,13,10,13,17
GOLDEN STATE WARRIORS,240,38,76,14,33,26,36,4,36,21,8,8,19,28
DETROIT PISTONS,240,35,92,13,35,23,29,16,29,21,8,6,15,26
BOSTON CELTICS,240,40,80,9,22,27,37,12,31,21,10,3,14,16
INDIANA PACERS,240,43,84,12,33,13,16,4,32,27,9,5,14,25
MINNESOTA TIMBERWOLVES,240,37,89,13,38,14,17,11,28,22,7,6,14,15
LOS ANGELES CLIPPERS,240,47,88,16,31,14,16,7,39,32,6,10,13,21
MILWAUKEE BUCKS,240,51,92,29,51,13,15,10,35,32,14,2,17,22
MIAMI HEAT,240,37,79,11,37,12,18,3,27,23,9,6,21,18
ORLANDO MAGIC,240,49,96,7,22,13,16,12,34,26,12,2,11,23
OKLAHOMA CITY THUNDER,240,43,87,11,34,10,19,10,37,20,3,7,20,18
TORONTO RAPTORS,240,32,90,17,45,12,14,10,37,21,12,7,19,28
PHILADELPHIA 76ERS,240,32,84,8,31,28,33,9,45,21,10,10,18,15
NEW ORLEANS PELICANS,240,37,77,3,24,9,18,7,34,18,8,3,16,14
PHOENIX SUNS,240,37,84,19,47,18,19,12,31,24,7,4,10,18
DENVER NUGGETS,240,44,81,11,28,16,20,7,32,27,7,5,19,18
SACRAMENTO KINGS,240,46,94,16,33,17,22,12,25,33,9,2,10,18
CHICAGO BULLS,240,38,87,15,36,24,32,5,32,26,7,1,14,23
WASHINGTON WIZARDS,240,37,84,10,37,23,26,8,39,25,6,6,19,28
