team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
SACRAMENTO KINGS,240,43,98,7,36,13,16,22,25,27,5,1,12,26
ATLANTA HAWKS,240,43,84,12,33,23,33,13,32,21,6,2,8,17
DETROIT PISTONS,240,36,89,8,32,15,20,12,34,26,10,8,12,16
BROOKLYN NETS,240,39,80,6,27,16,22,5,30,22,8,7,12,16
TORONTO RAPTORS,240,37,96,15,46,15,18,13,34,25,10,6,16,16
CHARLOTTE HORNETS,240,39,81,21,49,15,19,8,43,30,10,6,27,22
DALLAS MAVERICKS,240,42,86,18,46,14,16,11,37,26,5,3,8,19
DENVER NUGGETS,240,37,90,16,41,13,18,12,30,27,5,1,10,19
PORTLAND TRAIL BLAZERS,240,43,89,13,40,26,30,7,27,26,6,5,8,18
MINNESOTA TIMBERWOLVES,240,44,86,10,26,23,31,19,37,23,5,7,18,24
NEW YORK KNICKS,240,44,90,14,35,17,22,11,33,23,12,2,10,20
OKLAHOMA CITY THUNDER,240,37,76,8,32,15,21,5,35,22,3,4,18,18
INDIANA PACERS,240,46,87,13,28,17,21,9,36,25,9,6,15,18
PHOENIX SUNS,240,43,91,12,31,13,17,10,30,28,9,4,16,17
MILWAUKEE BUCKS,240,43,99,17,45,22,25,13,44,33,9,3,18,19
WASHINGTON WIZARDS,240,43,94,16,41,17,22,6,35,25,9,2,15,20
