team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
SACRAMENTO KINGS,240,37,81,12,30,21,26,11,34,22,6,9,14,16
BOSTON CELTICS,240,39,91,12,31,6,7,12,33,22,8,4,14,20
SAN ANTONIO SPURS,240,41,88,7,18,27,33,17,34,19,5,4,13,25
CLEVELAND CAVALIERS,240,39,89,7,27,25,32,15,32,19,8,4,10,21
CHICAGO BULLS,265,47,90,17,35,16,23,9,33,32,6,2,16,20
DENVER NUGGETS,265,48,91,14,34,21,27,9,34,29,10,3,13,22
DETROIT PISTONS,240,37,85,14,29,25,28,12,37,28,7,4,13,17
HOUSTON ROCKETS,240,39,88,9,32,13,16,7,31,21,7,4,13,17
GOLDEN STATE WARRIORS,240,44,91,15,41,13,18,8,35,31,13,6,13,16
MEMPHIS GRIZZLIES,240,39,84,8,26,17,21,9,37,24,10,6,20,17
INDIANA PACERS,240,52,89,20,36,13,19,9,38,38,7,9,16,17
MIAMI HEAT,240,41,92,9,34,19,20,10,26,22,10,4,11,17
BROOKLYN NETS,240,43,91,10,37,17,23,9,30,24,9,3,8,16
ORLANDO MAGIC,240,43,84,21,40,14,20,8,36,26,4,1,17,20
MINNESOTA TIMBERWOLVES,240,37,79,13,35,14,18,5,34,22,8,6,19,19
PHOENIX SUNS,240,43,86,14,27,13,17,6,34,29,8,1,18,19
DALLAS MAVERICKS,240,44,81,19,42,12,13,5,34,25,4,4,12,16
PORTLAND TRAIL BLAZERS,240,44,93,22,47,15,17,13,30,17,5,0,6,15
UTAH JAZZ,240,34,74,12,37,35,41,9,39,21,7,5,13,16
TORONTO RAPTORS,240,40,83,21,44,11,14,3,28,31,9,4,10,28
