team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
ORLANDO MAGIC,240,44,95,14,46,13,16,9,29,28,13,4,12,19
BROOKLYN NETS,240,42,78,16,35,22,25,4,37,24,9,5,19,14
PHILADELPHIA 76ERS,240,37,84,7,25,23,32,15,38,23,5,11,22,17
MEMPHIS GRIZZLIES,240,43,99,8,29,12,18,11,32,27,15,3,11,25
DETROIT PISTONS,240,46,91,18,46,10,15,10,29,34,9,8,11,28
MIAMI HEAT,240,32,67,12,29,24,27,5,26,25,1,5,22,21
ATLANTA HAWKS,240,38,87,6,30,24,28,7,41,24,4,6,13,22
PORTLAND TRAIL BLAZERS,240,40,103,15,44,17,20,17,38,18,6,8,7,20
HOUSTON ROCKETS,240,31,84,12,32,17,27,12,39,20,6,9,22,20
SAN ANTONIO SPURS,240,40,100,5,24,18,23,17,41,19,10,7,12,21
CHARLOTTE HORNETS,240,38,87,15,36,22,29,12,36,26,6,5,14,20
TORONTO RAPTORS,240,36,86,21,49,23,26,7,36,28,5,8,15,22
