team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
PHOENIX SUNS,240,36,88,6,35,8,9,10,28,18,10,2,17,23
BOSTON CELTICS,240,33,77,12,40,21,24,10,38,20,7,2,20,12
CHARLOTTE HORNETS,240,35,82,8,31,13,17,8,31,30,4,3,14,18
CHICAGO BULLS,240,43,87,14,43,8,11,11,38,30,8,2,16,14
LOS ANGELES LAKERS,240,43,90,10,30,14,17,12,33,26,7,5,16,28
DALLAS MAVERICKS,240,40,82,9,24,26,36,9,29,23,11,5,12,15
PHILADELPHIA 76ERS,240,46,91,12,27,13,18,7,26,27,7,3,8,17
MILWAUKEE BUCKS,240,45,81,20,40,14,23,6,39,32,6,8,16,16
NEW ORLEANS PELICANS,240,50,90,12,28,23,26,12,46,34,2,3,14,16
ORLANDO MAGIC,240,36,98,13,36,15,19,13,27,13,6,6,4,18
DETROIT PISTONS,240,35,77,8,22,13,22,9,34,15,2,5,17,22
SAN ANTONIO SPURS,240,37,80,11,24,21,27,11,32,28,12,7,10,19
