team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MIAMI HEAT,240,44,85,7,29,18,21,4,36,26,6,3,7,20
BROOKLYN NETS,240,45,93,15,44,12,19,14,37,31,5,4,9,15
INDIANA PACERS,240,48,84,11,30,9,14,8,38,31,9,5,11,16
CHICAGO BULLS,240,37,80,18,41,13,16,6,30,16,6,3,15,15
LOS ANGELES LAKERS,240,47,89,10,24,25,32,12,37,18,6,5,7,27
DALLAS MAVERICKS,240,39,96,11,38,25,37,17,30,19,4,3,9,20
GOLDEN STATE WARRIORS,240,37,96,8,39,18,25,13,33,28,9,1,10,22
LOS ANGELES CLIPPERS,240,41,84,11,39,16,22,9,45,27,5,7,19,24
SAN ANTONIO SPURS,240,42,87,17,40,20,23,5,32,29,3,6,11,17
MEMPHIS GRIZZLIES,240,52,100,16,38,14,16,11,38,39,5,6,8,20
NEW ORLEANS PELICANS,240,48,86,18,38,9,17,6,37,35,8,6,19,16
NEW YORK KNICKS,240,46,100,5,27,14,20,14,32,26,13,1,13,16
ORLANDO MAGIC,240,33,89,9,33,19,24,14,35,15,9,6,14,23
PHOENIX SUNS,240,33,79,9,28,23,26,9,35,19,10,8,14,21
MILWAUKEE BUCKS,240,47,95,10,39,23,30,7,45,29,11,4,11,12
SACRAMENTO KINGS,240,44,96,10,35,8,10,6,39,26,8,3,16,24
CHARLOTTE HORNETS,240,35,75,8,26,14,19,7,30,20,6,3,20,16
UTAH JAZZ,240,40,79,18,42,11,14,9,31,28,9,6,15,20
ATLANTA HAWKS,240,41,89,7,29,12,24,9,47,19,5,9,18,26
WASHINGTON WIZARDS,240,42,112,10,29,17,28,19,38,26,11,1,9,22
