team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
DETROIT PISTONS,240,51,86,15,32,19,25,11,30,31,12,8,17,18
ATLANTA HAWKS,240,40,93,10,34,13,15,10,22,18,9,6,19,20
PHOENIX SUNS,240,42,89,13,31,26,30,10,42,27,6,6,15,16
BOSTON CELTICS,240,42,96,15,42,20,22,4,35,26,11,6,11,24
MILWAUKEE BUCKS,240,45,89,17,37,10,16,5,49,30,8,6,20,16
BROOKLYN NETS,240,33,99,15,49,16,17,12,35,23,11,7,17,19
CLEVELAND CAVALIERS,240,40,73,15,29,21,23,7,29,27,5,5,27,18
CHICAGO BULLS,240,48,87,9,25,13,17,4,22,25,18,4,12,24
ORLANDO MAGIC,240,39,86,9,31,8,13,9,37,21,7,5,15,12
GOLDEN STATE WARRIORS,240,43,94,12,40,11,11,7,37,25,9,2,10,13
LOS ANGELES LAKERS,240,45,93,11,33,23,32,15,34,25,13,9,17,27
HOUSTON ROCKETS,240,40,90,12,37,23,29,11,35,20,8,4,20,26
TORONTO RAPTORS,240,47,91,13,35,15,17,7,35,25,13,9,14,23
MINNESOTA TIMBERWOLVES,240,38,94,14,50,22,27,12,37,34,8,5,17,18
LOS ANGELES CLIPPERS,240,46,93,10,31,31,39,10,26,22,12,2,12,29
NEW ORLEANS PELICANS,240,46,86,15,41,23,36,12,36,32,7,4,21,26
PHILADELPHIA 76ERS,240,34,78,10,32,12,19,5,36,26,8,6,13,19
NEW YORK KNICKS,240,35,88,6,25,11,18,12,36,20,4,5,14,18
PORTLAND TRAIL BLAZERS,240,39,91,12,32,16,21,12,28,11,7,7,12,28
OKLAHOMA CITY THUNDER,240,43,83,7,22,26,36,12,36,25,5,4,12,20
SACRAMENTO KINGS,240,42,86,10,26,7,12,7,30,20,3,3,10,23
UTAH JAZZ,240,43,85,14,42,23,24,10,37,24,7,4,8,14
