team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MIAMI HEAT,240,37,80,12,35,15,20,1,40,26,11,6,9,13
CHICAGO BULLS,240,34,92,15,38,7,7,12,38,25,5,3,16,16
INDIANA PACERS,240,37,88,8,36,18,21,10,34,22,7,4,16,27
LOS ANGELES LAKERS,240,34,76,7,22,30,39,6,38,20,10,5,15,20
DENVER NUGGETS,240,41,92,13,37,8,11,9,36,27,10,5,9,10
MEMPHIS GRIZZLIES,240,40,87,14,28,8,8,8,37,27,6,5,16,15
CLEVELAND CAVALIERS,240,30,88,7,32,15,20,5,28,13,8,9,6,18
NEW ORLEANS PELICANS,240,47,101,6,24,16,19,19,51,25,2,7,13,18
ORLANDO MAGIC,240,29,80,10,38,9,12,9,37,17,3,4,18,16
SAN ANTONIO SPURS,240,40,89,10,29,14,18,7,38,24,8,5,9,15
HOUSTON ROCKETS,240,41,112,9,43,8,13,19,31,15,11,5,10,19
UTAH JAZZ,240,39,81,15,40,21,25,6,45,24,7,10,17,17
PHILADELPHIA 76ERS,240,49,90,11,21,18,18,10,39,26,13,6,16,19
WASHINGTON WIZARDS,240,40,82,8,24,13,22,6,26,19,10,2,18,16
