team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
BOSTON CELTICS,240,48,90,12,29,15,17,11,33,21,10,5,15,22
ATLANTA HAWKS,240,42,84,12,30,19,21,6,26,22,9,6,17,19
PHOENIX SUNS,240,39,90,6,17,13,18,14,29,23,7,6,16,21
BROOKLYN NETS,240,43,89,15,34,18,21,10,34,28,8,5,17,26
ORLANDO MAGIC,240,43,80,16,34,10,17,8,29,35,7,3,9,12
CHARLOTTE HORNETS,240,41,89,9,31,9,14,15,31,24,8,2,12,16
NEW YORK KNICKS,265,57,102,10,26,15,21,12,34,33,11,1,12,18
CLEVELAND CAVALIERS,265,52,92,18,35,12,18,5,29,34,6,3,14,18
DALLAS MAVERICKS,240,36,86,18,45,22,23,12,39,20,3,2,12,15
INDIANA PACERS,240,44,96,7,34,8,11,8,32,28,7,6,4,18
SAN ANTONIO SPURS,240,40,95,12,37,13,16,6,40,21,5,9,6,20
LOS ANGELES CLIPPERS,240,39,84,11,27,19,24,5,46,28,3,2,12,18
DETROIT PISTONS,240,34,98,8,26,6,9,16,35,21,6,2,14,13
MEMPHIS GRIZZLIES,240,42,90,2,17,10,12,7,40,27,6,12,11,18
PHILADELPHIA 76ERS,240,36,83,13,38,21,25,14,30,24,3,1,14,21
MIAMI HEAT,240,48,85,16,32,25,30,6,29,27,8,1,3,18
MINNESOTA TIMBERWOLVES,240,37,85,13,38,22,28,14,31,25,12,6,16,25
SACRAMENTO KINGS,240,38,75,14,27,23,31,7,27,26,7,7,16,20
GOLDEN STATE WARRIORS,240,43,87,15,30,24,31,12,32,31,8,6,14,25
WASHINGTON WIZARDS,240,42,83,9,22,24,29,2,33,28,6,4,11,24
