team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
SAN ANTONIO SPURS,240,38,89,8,31,22,30,13,33,19,5,6,9,8
CHICAGO BULLS,240,40,91,11,33,8,9,14,37,24,6,3,17,22
BOSTON CELTICS,240,40,88,10,38,20,29,15,25,19,10,9,12,27
CLEVELAND CAVALIERS,240,40,74,10,23,27,33,7,33,23,6,3,15,17
LOS ANGELES CLIPPERS,240,37,88,9,32,6,11,8,29,22,12,3,12,15
DALLAS MAVERICKS,240,40,79,15,34,10,12,6,37,14,7,7,18,16
CHARLOTTE HORNETS,240,36,80,12,38,20,28,7,26,25,11,1,17,16
DENVER NUGGETS,240,52,90,16,44,9,13,8,40,37,12,3,15,22
TORONTO RAPTORS,240,37,86,12,40,26,34,10,20,27,7,6,9,26
DETROIT PISTONS,240,38,75,12,29,28,32,13,41,23,8,5,20,30
GOLDEN STATE WARRIORS,240,41,90,16,45,10,12,6,42,32,7,4,12,26
HOUSTON ROCKETS,240,33,80,7,27,21,40,8,40,19,7,3,16,15
BROOKLYN NETS,240,42,87,9,27,31,40,15,35,22,10,2,16,20
INDIANA PACERS,240,43,84,9,32,20,25,4,30,29,10,3,16,28
MIAMI HEAT,240,32,89,8,34,13,18,8,43,17,4,2,10,21
MEMPHIS GRIZZLIES,240,30,85,10,42,19,25,8,42,22,5,4,9,17
MILWAUKEE BUCKS,265,41,101,9,39,18,24,12,46,22,11,1,22,11
PHILADELPHIA 76ERS,265,43,109,14,41,5,8,13,46,28,14,7,20,23
SACRAMENTO KINGS,240,41,93,10,33,29,35,6,32,25,10,4,8,26
WASHINGTON WIZARDS,240,46,94,4,25,23,28,10,42,25,5,2,15,25
