team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
NEW YORK KNICKS,240,43,85,7,21,20,25,11,34,26,9,6,15,21
ATLANTA HAWKS,240,40,87,10,31,18,23,10,30,24,4,2,12,21
SACRAMENTO KINGS,240,34,90,10,35,28,39,11,41,20,5,6,14,20
GOLDEN STATE WARRIORS,240,51,97,23,43,12,14,3,45,41,4,6,11,28
DALLAS MAVERICKS,240,39,82,16,39,19,20,10,41,24,4,3,15,31
HOUSTON ROCKETS,240,30,77,11,40,29,36,7,28,17,5,4,12,19
OKLAHOMA CITY THUNDER,240,29,79,13,48,19,27,6,32,20,6,4,15,15
MIAMI HEAT,240,46,81,16,34,10,18,4,43,34,7,0,14,20
DETROIT PISTONS,240,43,98,17,40,12,12,6,25,27,9,5,8,17
MILWAUKEE BUCKS,240,49,85,14,34,13,16,7,42,32,6,4,19,18
INDIANA PACERS,265,45,93,19,45,9,13,5,37,32,10,8,14,27
NEW ORLEANS PELICANS,265,44,101,9,27,19,24,16,41,26,5,4,18,20
CLEVELAND CAVALIERS,240,33,85,10,28,7,12,9,26,20,12,4,14,14
ORLANDO MAGIC,240,38,88,15,34,12,13,18,36,22,9,7,19,15
CHARLOTTE HORNETS,240,36,86,13,39,16,22,8,39,30,4,4,16,24
PHILADELPHIA 76ERS,240,46,95,11,32,15,23,14,41,34,7,5,10,21
BOSTON CELTICS,240,41,84,15,29,29,34,12,44,19,3,9,19,29
TORONTO RAPTORS,240,36,90,13,37,29,38,8,29,20,13,4,10,26
