team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
PHILADELPHIA 76ERS,240,39,77,10,26,24,33,8,30,17,5,2,16,27
LOS ANGELES CLIPPERS,240,45,85,11,26,21,27,9,29,26,9,3,12,25
NEW YORK KNICKS,240,40,93,16,44,6,8,12,32,28,9,11,14,19
MILWAUKEE BUCKS,240,36,87,14,36,10,16,15,33,21,11,7,16,11
HOUSTON ROCKETS,240,50,92,18,39,11,13,10,31,29,7,7,12,24
MINNESOTA TIMBERWOLVES,240,36,85,13,40,22,28,10,30,26,8,6,11,15
DALLAS MAVERICKS,240,37,83,10,31,19,24,10,28,19,2,4,7,20
NEW ORLEANS PELICANS,240,42,81,9,26,19,29,8,34,20,2,5,6,18
BOSTON CELTICS,240,44,96,12,38,11,14,10,42,22,10,4,12,19
OKLAHOMA CITY THUNDER,240,34,83,11,38,15,24,10,40,16,7,4,16,12
CLEVELAND CAVALIERS,240,37,84,9,26,15,23,7,29,20,11,2,7,13
SACRAMENTO KINGS,240,41,80,7,30,11,14,7,37,16,4,9,18,20
CHICAGO BULLS,240,41,95,8,34,14,18,11,37,28,6,3,14,25
SAN ANTONIO SPURS,240,46,85,10,25,18,28,4,37,29,9,7,10,15
MEMPHIS GRIZZLIES,240,39,97,9,33,23,30,16,31,24,16,2,14,14
UTAH JAZZ,240,46,92,19,45,15,20,13,39,22,8,8,21,22
DETROIT PISTONS,240,33,85,10,29,16,19,7,36,19,9,5,19,18
WASHINGTON WIZARDS,240,44,91,9,21,9,9,7,41,24,7,5,18,22
