team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
ATLANTA HAWKS,240,38,90,10,30,23,25,13,28,21,14,6,13,14
BOSTON CELTICS,240,50,90,14,35,7,10,9,35,26,8,12,18,21
DENVER NUGGETS,240,46,80,15,31,13,17,6,31,24,9,2,15,17
CLEVELAND CAVALIERS,240,39,83,12,31,13,21,13,21,30,8,4,18,15
UTAH JAZZ,240,41,86,12,34,18,21,6,32,13,7,6,10,22
LOS ANGELES CLIPPERS,240,43,89,10,30,20,22,11,34,22,5,4,11,20
DETROIT PISTONS,240,36,86,14,45,9,13,13,32,27,8,7,21,22
MEMPHIS GRIZZLIES,240,42,90,5,20,20,23,13,36,20,12,4,11,13
OKLAHOMA CITY THUNDER,240,31,85,12,40,11,21,8,38,20,4,5,10,23
MILWAUKEE BUCKS,240,35,86,11,34,17,25,11,50,23,5,6,12,18
TORONTO RAPTORS,240,28,85,12,40,18,22,15,36,16,8,6,15,16
MINNESOTA TIMBERWOLVES,240,32,83,9,38,8,11,6,37,24,6,9,13,23
PHOENIX SUNS,240,51,88,22,39,8,12,4,33,38,8,4,13,17
NEW ORLEANS PELICANS,240,42,82,11,32,19,24,6,31,28,11,3,13,16
GOLDEN STATE WARRIORS,240,46,97,19,42,9,15,9,36,37,8,0,13,19
ORLANDO MAGIC,240,46,94,18,43,14,17,8,43,30,7,8,13,19
CHICAGO BULLS,240,40,95,7,32,18,18,13,29,24,5,6,11,20
PHILADELPHIA 76ERS,240,41,87,7,21,23,29,16,37,23,5,7,15,18
