team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
PHOENIX SUNS,240,40,87,4,20,26,32,10,30,20,9,6,11,19
ATLANTA HAWKS,240,46,93,14,31,17,20,12,34,25,3,10,15,25
UTAH JAZZ,240,46,92,13,36,13,15,7,34,19,8,3,8,15
BROOKLYN NETS,240,45,90,8,26,9,15,11,32,22,4,4,12,13
DALLAS MAVERICKS,240,49,96,13,37,13,21,15,38,23,5,2,7,17
GOLDEN STATE WARRIORS,240,39,87,9,32,10,13,7,29,27,4,1,14,16
CLEVELAND CAVALIERS,240,38,91,14,37,13,15,8,32,25,5,6,13,21
LOS ANGELES CLIPPERS,240,49,94,15,38,15,21,14,39,29,7,8,11,12
HOUSTON ROCKETS,240,37,86,14,45,22,24,9,32,18,4,2,15,23
MEMPHIS GRIZZLIES,240,46,91,13,37,16,19,7,35,29,6,9,7,19
NEW YORK KNICKS,240,36,102,11,37,19,26,12,37,26,7,3,11,21
MILWAUKEE BUCKS,240,45,92,15,36,23,28,8,51,27,4,8,14,22
