team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
DALLAS MAVERICKS,240,38,77,19,39,18,25,4,39,20,6,4,16,18
BOSTON CELTICS,240,39,94,11,47,19,23,8,28,20,11,2,9,19
HOUSTON ROCKETS,240,39,78,13,40,17,24,6,25,22,5,8,13,21
BROOKLYN NETS,240,44,90,13,36,19,19,12,33,25,6,3,11,21
PORTLAND TRAIL BLAZERS,240,42,82,16,30,24,26,6,37,27,11,7,13,20
DETROIT PISTONS,240,40,86,9,27,12,17,5,31,29,7,7,16,26
MIAMI HEAT,240,32,78,10,32,18,28,8,34,22,5,4,11,14
INDIANA PACERS,240,34,85,11,37,8,12,11,37,23,7,4,13,23
MILWAUKEE BUCKS,240,42,79,14,26,14,18,7,35,23,13,8,21,17
LOS ANGELES LAKERS,240,35,87,10,36,17,22,11,29,22,9,5,22,22
UTAH JAZZ,240,38,89,16,49,19,25,11,35,20,10,5,14,21
MEMPHIS GRIZZLIES,240,42,90,5,18,18,23,11,35,23,10,4,11,20
NEW YORK KNICKS,240,39,82,11,23,12,17,7,34,20,7,6,16,18
MINNESOTA TIMBERWOLVES,240,36,87,14,40,16,19,9,31,25,9,8,12,14
TORONTO RAPTORS,240,35,90,16,46,17,20,7,28,21,13,7,7,25
OKLAHOMA CITY THUNDER,240,39,86,14,33,21,28,19,45,19,2,6,18,16
CHICAGO BULLS,240,43,99,11,33,19,21,18,32,27,6,4,9,20
PHOENIX SUNS,240,46,81,11,25,18,24,4,28,29,6,7,9,21
SACRAMENTO KINGS,240,39,92,11,35,17,19,11,32,22,7,5,12,20
SAN ANTONIO SPURS,240,43,92,10,26,24,34,14,40,24,9,2,10,17
