team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MEMPHIS GRIZZLIES,240,40,93,9,33,18,25,14,32,26,8,3,22,13
BOSTON CELTICS,240,49,91,16,39,12,14,10,32,27,17,11,16,21
ATLANTA HAWKS,240,47,99,18,46,29,35,17,37,27,5,2,12,19
BROOKLYN NETS,240,54,100,19,41,18,23,9,31,30,6,3,8,24
CHARLOTTE HORNETS,240,43,84,15,34,17,21,12,38,30,6,6,23,28
DALLAS MAVERICKS,240,34,87,12,42,19,33,13,26,24,10,6,14,16
PORTLAND TRAIL BLAZERS,240,32,76,12,38,29,34,5,36,14,5,4,17,17
LOS ANGELES CLIPPERS,240,47,95,18,38,16,22,11,36,30,13,6,10,25
MILWAUKEE BUCKS,240,40,102,16,41,12,13,16,31,26,14,6,13,25
MIAMI HEAT,240,40,82,15,39,24,29,10,42,25,5,5,22,18
LOS ANGELES LAKERS,240,46,82,14,26,15,20,7,40,25,4,3,17,24
SAN ANTONIO SPURS,240,40,87,10,24,17,23,7,32,25,8,4,10,18
