team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MILWAUKEE BUCKS,240,38,100,12,33,13,16,14,38,16,8,1,9,20
DALLAS MAVERICKS,240,43,97,17,45,13,18,15,41,23,6,8,11,15
PHOENIX SUNS,240,36,71,6,24,25,30,9,27,20,6,6,14,18
LOS ANGELES CLIPPERS,240,42,84,18,37,11,12,9,26,26,5,1,10,22
LOS ANGELES LAKERS,240,35,79,12,35,22,25,10,30,26,9,3,22,24
MIAMI HEAT,240,34,71,10,25,32,40,9,29,22,12,8,20,25
CLEVELAND CAVALIERS,240,48,94,13,37,20,24,9,35,35,8,3,7,12
OKLAHOMA CITY THUNDER,240,40,89,13,32,9,13,11,33,28,5,5,15,20
DETROIT PISTONS,240,44,84,8,23,17,20,7,36,24,7,4,16,24
SACRAMENTO KINGS,240,38,86,7,30,18,26,6,32,20,9,4,12,21
CHICAGO BULLS,240,47,87,12,30,16,18,12,37,35,5,3,16,16
TORONTO RAPTORS,240,42,97,11,34,18,22,15,26,19,10,4,10,20
PORTLAND TRAIL BLAZERS,240,38,96,13,48,14,18,9,32,18,3,5,6,21
UTAH JAZZ,240,43,95,12,42,24,27,14,44,21,4,3,7,15
