team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
ORLANDO MAGIC,240,44,89,12,27,15,20,13,33,29,8,10,7,15
CHICAGO BULLS,240,41,86,17,37,7,9,7,33,23,7,6,12,16
CLEVELAND CAVALIERS,240,37,76,13,31,16,19,9,38,27,9,7,15,11
CHARLOTTE HORNETS,240,34,84,16,44,6,12,10,28,23,8,5,12,18
MIAMI HEAT,240,39,79,13,32,15,18,4,26,29,7,8,8,13
DENVER NUGGETS,240,48,89,17,36,10,13,11,32,32,5,7,10,19
LOS ANGELES CLIPPERS,240,37,93,7,29,19,21,15,32,10,8,2,11,20
DETROIT PISTONS,240,37,85,7,24,17,22,11,35,17,5,4,16,21
INDIANA PACERS,240,50,94,15,36,17,22,11,37,28,10,6,18,16
HOUSTON ROCKETS,240,48,104,10,34,18,22,16,31,22,12,6,15,17
DALLAS MAVERICKS,240,44,88,13,40,13,17,8,37,25,4,2,11,17
MEMPHIS GRIZZLIES,240,42,89,13,34,16,21,10,34,27,7,3,7,18
MILWAUKEE BUCKS,240,46,98,19,40,19,23,7,45,26,14,4,16,20
MINNESOTA TIMBERWOLVES,240,34,92,15,41,22,31,10,37,22,13,7,16,17
NEW YORK KNICKS,240,44,97,17,33,11,13,11,37,19,6,5,6,17
NEW ORLEANS PELICANS,240,40,88,6,28,20,24,9,40,25,3,5,9,12
GOLDEN STATE WARRIORS,240,52,95,24,47,19,23,9,32,39,12,6,14,20
OKLAHOMA CITY THUNDER,240,44,92,7,27,14,25,17,33,22,6,2,21,22
BROOKLYN NETS,240,43,83,4,21,27,30,11,32,23,6,3,15,21
PHILADELPHIA 76ERS,240,45,87,13,28,20,25,4,28,23,8,9,10,21
WASHINGTON WIZARDS,240,47,90,7,24,22,27,14,42,23,12,3,24,18
SACRAMENTO KINGS,240,42,91,9,27,18,24,5,26,22,17,8,17,22
SAN ANTONIO SPURS,240,38,90,17,40,19,27,13,29,26,6,7,13,19
TORONTO RAPTORS,240,41,88,14,30,21,25,13,41,21,8,7,12,19
