team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CHICAGO BULLS,240,39,79,13,37,14,18,7,34,27,6,4,19,24
CLEVELAND CAVALIERS,240,45,88,16,36,15,19,9,32,27,8,1,10,19
DETROIT PISTONS,240,40,79,13,32,24,31,7,35,30,2,2,13,24
DALLAS MAVERICKS,240,46,92,16,43,19,26,11,32,25,8,2,6,22
UTAH JAZZ,240,41,90,17,46,13,16,9,52,27,7,4,12,16
HOUSTON ROCKETS,240,35,99,10,49,9,17,12,38,17,7,5,11,21
OKLAHOMA CITY THUNDER,240,48,104,9,29,11,16,18,38,26,8,3,17,18
INDIANA PACERS,240,46,101,14,40,16,20,14,33,30,13,7,11,16
MEMPHIS GRIZZLIES,240,38,84,13,30,16,23,11,31,19,6,8,13,29
LOS ANGELES CLIPPERS,240,38,84,14,27,27,36,10,33,28,4,5,12,17
ATLANTA HAWKS,265,49,102,12,34,17,24,12,29,28,10,3,10,18
NEW YORK KNICKS,265,49,91,19,35,20,25,8,41,29,8,3,14,19
PHOENIX SUNS,240,41,86,15,42,19,21,10,23,30,7,8,8,21
PHILADELPHIA 76ERS,240,41,80,13,25,18,26,14,30,24,7,7,16,19
DENVER NUGGETS,240,39,88,13,39,15,17,16,30,24,7,5,13,16
PORTLAND TRAIL BLAZERS,240,40,87,12,36,13,15,9,32,21,7,2,11,16
MINNESOTA TIMBERWOLVES,240,46,87,15,34,18,22,9,25,30,7,4,10,21
SACRAMENTO KINGS,240,43,74,17,33,25,31,4,29,29,7,5,14,20
MIAMI HEAT,240,39,83,13,31,16,20,9,35,28,8,1,7,20
SAN ANTONIO SPURS,240,31,77,10,35,15,20,7,31,21,1,7,10,15
BROOKLYN NETS,240,36,91,13,41,18,23,12,38,19,3,6,13,17
TORONTO RAPTORS,240,39,90,18,47,18,21,9,39,23,7,8,10,20
GOLDEN STATE WARRIORS,240,40,101,15,45,19,21,10,34,22,15,5,17,23
WASHINGTON WIZARDS,240,38,91,10,28,32,38,15,46,23,12,7,22,16
