team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
BROOKLYN NETS,240,41,76,15,29,26,31,9,34,21,5,10,15,22
BOSTON CELTICS,240,37,98,8,27,13,19,20,27,23,6,5,15,27
LOS ANGELES CLIPPERS,240,41,74,19,38,20,24,9,29,32,9,4,18,32
DENVER NUGGETS,240,37,81,11,36,23,31,10,22,25,7,1,13,20
DALLAS MAVERICKS,240,41,83,13,32,20,26,3,24,20,13,3,9,22
LOS ANGELES LAKERS,240,51,91,19,39,17,24,17,36,33,9,4,16,23
NEW ORLEANS PELICANS,240,31,78,10,35,26,33,11,30,18,8,2,19,20
MIAMI HEAT,240,38,75,16,37,19,23,4,31,29,11,2,17,25
GOLDEN STATE WARRIORS,240,34,99,10,45,21,25,10,33,14,5,6,11,22
MILWAUKEE BUCKS,240,50,90,20,36,18,26,11,49,25,6,4,17,17
