team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CLEVELAND CAVALIERS,240,31,81,8,30,12,23,14,20,19,4,5,13,18
ATLANTA HAWKS,240,32,71,12,29,24,26,12,37,21,4,6,15,21
TORONTO RAPTORS,240,34,90,12,45,15,21,7,31,23,5,7,12,22
CHICAGO BULLS,240,44,97,12,44,18,23,14,46,35,6,7,11,20
UTAH JAZZ,240,41,93,15,44,22,29,18,33,24,6,6,14,16
GOLDEN STATE WARRIORS,240,50,89,16,31,15,18,5,35,33,12,2,13,26
BOSTON CELTICS,240,51,92,18,37,14,21,10,45,29,8,3,14,22
HOUSTON ROCKETS,240,35,91,16,50,21,31,10,27,23,8,5,11,19
PORTLAND TRAIL BLAZERS,240,39,89,17,45,17,21,9,33,22,6,3,11,29
MINNESOTA TIMBERWOLVES,240,36,73,13,38,29,39,5,40,24,6,4,12,22
LOS ANGELES CLIPPERS,240,42,92,15,43,16,19,9,23,23,12,2,12,17
NEW ORLEANS PELICANS,240,53,81,12,26,17,21,4,36,38,8,1,18,16
MEMPHIS GRIZZLIES,240,47,92,7,22,21,29,11,21,27,13,3,7,21
OKLAHOMA CITY THUNDER,240,42,73,16,31,28,34,8,38,26,7,4,24,20
MIAMI HEAT,240,37,89,14,50,14,15,10,33,28,15,6,11,17
ORLANDO MAGIC,240,33,75,16,40,15,21,8,37,25,4,1,23,18
SAN ANTONIO SPURS,240,36,85,4,21,23,31,10,22,20,8,10,9,13
PHILADELPHIA 76ERS,240,56,98,15,29,7,11,13,41,35,7,7,11,27
