team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
BROOKLYN NETS,240,42,92,18,46,16,21,7,31,30,5,8,11,19
ATLANTA HAWKS,240,50,97,19,39,22,30,15,37,32,8,4,8,15
DENVER NUGGETS,240,41,91,9,25,12,16,13,26,19,7,6,14,18
LOS ANGELES CLIPPERS,240,48,89,18,39,18,20,11,35,35,6,5,10,19
SACRAMENTO KINGS,240,38,91,11,38,17,21,8,39,24,11,3,9,16
MEMPHIS GRIZZLIES,240,39,91,8,30,15,20,10,42,27,7,5,12,16
DALLAS MAVERICKS,240,40,84,21,50,17,19,4,31,25,0,3,11,25
MIAMI HEAT,240,41,79,17,35,27,36,6,34,30,6,2,9,21
OKLAHOMA CITY THUNDER,240,33,91,6,35,14,20,5,31,14,8,3,14,15
MILWAUKEE BUCKS,240,50,100,21,45,12,14,14,52,34,6,2,17,21
CLEVELAND CAVALIERS,240,43,95,11,31,7,12,10,24,27,7,2,14,13
NEW ORLEANS PELICANS,240,48,88,9,23,11,15,12,37,36,12,8,16,17
MINNESOTA TIMBERWOLVES,240,46,95,17,44,16,24,6,27,27,10,6,15,20
ORLANDO MAGIC,240,53,98,12,40,18,22,10,44,36,6,7,15,20
DETROIT PISTONS,240,44,90,13,32,12,16,10,21,27,14,3,10,19
PHOENIX SUNS,240,45,75,9,23,12,17,5,33,31,9,5,18,14
CHARLOTTE HORNETS,240,34,78,13,30,18,25,11,47,23,3,8,17,22
TORONTO RAPTORS,240,33,95,10,43,20,29,14,31,19,11,3,5,25
WASHINGTON WIZARDS,240,45,98,14,37,15,21,13,28,23,12,4,11,20
UTAH JAZZ,240,44,89,19,37,22,30,15,39,23,7,5,15,22
