team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
GOLDEN STATE WARRIORS,240,43,92,10,40,15,21,9,36,25,12,6,16,26
ATLANTA HAWKS,240,35,81,12,32,35,45,10,39,19,10,3,15,19
CHARLOTTE HORNETS,240,32,80,10,31,12,20,9,33,23,3,5,17,15
BOSTON CELTICS,240,43,94,21,54,9,11,14,30,29,11,5,6,20
BROOKLYN NETS,240,45,93,11,28,6,7,4,31,28,3,3,5,17
CHICAGO BULLS,240,43,78,8,22,21,30,6,34,29,4,3,9,11
ORLANDO MAGIC,240,42,89,13,35,12,17,10,26,27,11,4,11,26
DENVER NUGGETS,240,43,88,9,29,24,31,19,35,27,6,5,14,14
NEW ORLEANS PELICANS,240,42,91,16,37,22,35,16,39,26,12,9,15,27
HOUSTON ROCKETS,240,41,89,16,40,17,24,9,39,25,3,3,17,24
LOS ANGELES LAKERS,240,32,80,7,23,15,20,7,29,16,9,7,18,11
LOS ANGELES CLIPPERS,240,41,86,14,28,8,9,13,37,23,10,4,19,25
MEMPHIS GRIZZLIES,240,44,89,16,38,12,15,10,39,30,6,10,12,23
PHILADELPHIA 76ERS,240,37,89,8,34,18,28,16,34,23,4,6,10,19
