team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
INDIANA PACERS,240,36,92,15,38,7,11,10,33,26,4,5,8,21
BROOKLYN NETS,240,32,76,9,31,31,35,9,37,20,2,5,12,20
NEW ORLEANS PELICANS,240,41,81,13,36,21,26,9,26,27,11,1,12,12
CHICAGO BULLS,240,48,81,25,47,8,11,7,28,36,4,6,16,20
ATLANTA HAWKS,240,40,88,14,39,23,28,9,33,27,7,4,9,20
DALLAS MAVERICKS,240,43,84,14,35,18,20,4,33,25,3,3,9,24
CLEVELAND CAVALIERS,240,36,94,8,37,15,20,18,31,25,7,7,17,18
DENVER NUGGETS,240,51,85,16,36,15,21,4,35,31,12,9,11,18
OKLAHOMA CITY THUNDER,265,47,100,7,31,12,14,7,39,32,11,4,13,23
LOS ANGELES LAKERS,265,42,89,10,35,20,24,6,37,22,6,6,16,15
CHARLOTTE HORNETS,240,45,82,14,29,10,12,8,27,23,11,4,18,14
MEMPHIS GRIZZLIES,240,47,94,23,49,13,18,19,27,34,10,2,16,18
LOS ANGELES CLIPPERS,240,41,82,12,23,25,29,11,37,23,9,4,15,20
MINNESOTA TIMBERWOLVES,240,41,95,15,41,15,19,16,27,29,8,8,15,24
MILWAUKEE BUCKS,240,43,85,16,37,22,30,10,29,23,6,0,9,21
PHOENIX SUNS,240,46,87,15,31,18,25,12,35,25,7,2,11,19
TORONTO RAPTORS,240,49,93,19,32,20,23,9,37,28,5,5,12,17
WASHINGTON WIZARDS,240,42,93,12,41,19,23,12,34,26,7,3,14,20
