team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CHARLOTTE HORNETS,240,44,83,12,34,15,20,8,29,26,12,3,19,18
BROOKLYN NETS,240,47,85,21,41,15,16,7,30,35,12,5,18,17
MEMPHIS GRIZZLIES,240,45,86,17,40,19,24,6,36,33,9,4,5,17
CHICAGO BULLS,240,45,96,13,34,12,15,13,33,34,3,1,11,20
NEW YORK KNICKS,240,44,86,14,28,15,21,9,36,22,4,5,9,20
DALLAS MAVERICKS,240,40,91,15,45,14,19,10,31,30,6,7,9,17
OKLAHOMA CITY THUNDER,240,39,97,7,39,19,26,18,38,19,13,8,21,23
DETROIT PISTONS,240,38,90,10,35,24,34,15,39,22,13,7,18,24
DENVER NUGGETS,240,46,94,9,31,27,31,18,36,22,11,3,9,15
HOUSTON ROCKETS,240,38,86,11,35,12,18,8,27,23,7,3,14,19
MIAMI HEAT,240,39,80,14,34,19,26,7,26,33,11,5,14,28
MINNESOTA TIMBERWOLVES,240,42,81,15,36,20,29,10,35,30,8,2,17,22
LOS ANGELES CLIPPERS,240,37,82,19,39,10,16,8,35,26,6,3,19,26
PHILADELPHIA 76ERS,240,35,83,14,44,22,30,11,35,21,13,7,12,19
PORTLAND TRAIL BLAZERS,240,41,89,11,29,14,16,9,29,23,9,6,11,12
SAN ANTONIO SPURS,240,45,95,7,23,9,10,14,35,30,7,9,14,14
ORLANDO MAGIC,240,35,77,8,23,24,34,6,29,20,8,4,10,14
TORONTO RAPTORS,240,41,82,14,35,17,18,8,34,24,6,10,14,24
INDIANA PACERS,240,41,105,13,39,16,17,14,29,23,13,3,10,19
UTAH JAZZ,240,42,87,16,42,19,24,10,46,22,5,6,20,19
NEW ORLEANS PELICANS,265,40,97,7,28,28,33,11,45,26,11,7,15,22
WASHINGTON WIZARDS,265,45,96,4,27,23,32,3,43,24,5,7,13,24
