team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
TORONTO RAPTORS,240,41,97,13,38,26,34,14,24,24,9,5,6,27
ATLANTA HAWKS,240,42,74,19,36,29,33,4,39,31,1,10,18,25
MILWAUKEE BUCKS,240,47,86,16,34,14,23,6,37,25,10,2,8,20
CLEVELAND CAVALIERS,240,39,86,6,28,15,21,8,32,21,4,1,13,19
GOLDEN STATE WARRIORS,240,46,86,20,45,20,23,6,34,27,11,4,16,24
DALLAS MAVERICKS,240,44,96,21,47,25,30,15,32,27,5,0,14,19
SAN ANTONIO SPURS,240,37,87,8,25,29,36,7,37,22,6,7,10,18
HOUSTON ROCKETS,240,38,88,12,38,18,25,6,40,21,5,6,12,25
DETROIT PISTONS,290,45,94,16,42,23,28,9,26,31,13,4,20,31
LOS ANGELES LAKERS,290,51,91,9,19,24,28,9,32,32,12,5,23,24
MEMPHIS GRIZZLIES,240,40,90,13,39,16,19,11,34,27,5,5,9,17
NEW ORLEANS PELICANS,240,45,87,15,33,13,21,8,34,27,3,9,7,15
PORTLAND TRAIL BLAZERS,240,37,89,17,47,8,16,11,30,15,7,7,11,15
NEW YORK KNICKS,240,44,88,13,30,9,13,8,43,20,5,5,14,19
MINNESOTA TIMBERWOLVES,240,47,93,12,36,12,22,13,27,27,12,3,13,15
OKLAHOMA CITY THUNDER,240,46,90,12,33,16,20,8,35,25,8,1,15,19
CHICAGO BULLS,240,47,91,15,30,9,13,11,36,28,6,10,10,12
ORLANDO MAGIC,240,37,95,6,27,12,12,15,32,17,5,10,11,10
BROOKLYN NETS,240,39,88,15,41,15,17,8,26,21,6,3,17,18
PHILADELPHIA 76ERS,240,48,94,10,27,18,22,13,38,27,12,4,15,15
DENVER NUGGETS,240,45,97,13,35,11,14,13,34,30,3,9,9,18
SACRAMENTO KINGS,240,44,91,14,35,17,24,10,35,30,5,7,7,11
