team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MEMPHIS GRIZZLIES,240,34,81,4,32,24,31,6,39,20,8,6,16,22
DENVER NUGGETS,240,45,94,11,33,19,22,8,40,25,8,3,11,20
ATLANTA HAWKS,240,33,85,4,27,16,17,9,36,19,10,4,16,17
DETROIT PISTONS,240,40,84,9,26,11,15,8,39,22,9,8,14,16
CHICAGO BULLS,240,41,77,11,29,17,22,9,42,33,3,4,18,21
MIAMI HEAT,240,36,84,7,36,23,25,6,28,18,13,4,5,19
UTAH JAZZ,240,37,95,16,57,14,19,16,33,24,9,6,11,18
MINNESOTA TIMBERWOLVES,240,37,83,16,44,15,21,8,40,29,7,4,16,21
LOS ANGELES CLIPPERS,240,36,90,14,45,17,17,13,31,20,5,5,18,23
NEW ORLEANS PELICANS,240,44,82,15,29,17,26,8,36,28,13,5,16,18
PHOENIX SUNS,240,45,83,14,34,14,17,5,32,23,5,6,8,13
NEW YORK KNICKS,240,45,87,12,29,8,10,6,29,24,6,1,10,19
LOS ANGELES LAKERS,240,47,87,11,31,9,14,9,35,23,8,5,11,18
ORLANDO MAGIC,240,36,76,11,25,20,24,4,24,16,5,3,11,18
OKLAHOMA CITY THUNDER,240,35,78,7,30,13,23,11,27,21,11,1,29,16
PHILADELPHIA 76ERS,240,47,86,14,31,13,18,10,31,27,22,7,20,19
DALLAS MAVERICKS,240,43,92,12,42,8,14,14,26,24,9,2,10,15
SACRAMENTO KINGS,240,42,81,13,29,16,18,11,35,23,6,4,16,15
CLEVELAND CAVALIERS,240,36,83,10,38,14,16,9,28,25,6,3,13,16
TORONTO RAPTORS,240,43,79,8,29,18,20,5,35,32,7,5,12,19
SAN ANTONIO SPURS,265,55,103,6,17,30,35,13,31,27,6,1,6,21
WASHINGTON WIZARDS,265,58,109,6,20,21,25,18,32,26,4,8,8,23
