team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
DETROIT PISTONS,240,43,98,13,41,21,24,17,31,24,7,4,8,25
ATLANTA HAWKS,240,40,82,20,42,28,32,8,37,30,5,7,13,22
MEMPHIS GRIZZLIES,265,42,98,10,29,22,29,16,40,20,10,4,19,17
BROOKLYN NETS,265,41,100,14,42,15,17,13,37,28,13,6,17,20
HOUSTON ROCKETS,240,39,86,16,39,17,23,5,33,25,8,3,15,25
DENVER NUGGETS,240,46,87,14,31,18,32,11,41,31,8,7,14,18
PORTLAND TRAIL BLAZERS,240,43,92,16,46,13,15,7,38,27,9,6,9,16
LOS ANGELES LAKERS,240,41,87,10,27,15,18,6,35,20,6,5,14,14
UTAH JAZZ,240,43,86,13,36,11,14,8,35,24,9,6,16,19
OKLAHOMA CITY THUNDER,240,40,86,15,38,14,19,7,30,21,9,5,15,16
