team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
OKLAHOMA CITY THUNDER,240,34,93,13,34,12,16,11,27,18,5,3,9,13
ATLANTA HAWKS,240,47,87,11,33,11,13,6,44,26,6,7,14,16
CHARLOTTE HORNETS,240,41,83,11,29,12,20,8,36,26,7,8,19,19
LOS ANGELES LAKERS,240,44,92,13,39,15,20,11,37,23,7,6,11,19
ORLANDO MAGIC,240,35,82,10,34,13,16,8,41,21,6,6,10,13
NEW YORK KNICKS,240,37,86,14,34,6,11,5,38,24,6,4,7,14
MINNESOTA TIMBERWOLVES,240,44,93,11,34,24,35,11,27,22,14,4,12,16
PHOENIX SUNS,240,45,85,15,36,14,19,9,38,29,6,6,22,30
NEW ORLEANS PELICANS,240,33,83,10,37,17,25,10,34,24,6,5,12,19
PORTLAND TRAIL BLAZERS,240,33,87,14,43,21,25,14,36,11,8,8,13,19
UTAH JAZZ,240,44,96,18,48,16,28,11,36,19,10,3,16,27
WASHINGTON WIZARDS,240,47,86,7,17,30,38,7,36,23,6,2,13,27
