team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
TORONTO RAPTORS,240,45,91,21,50,14,17,8,20,36,6,1,13,25
BOSTON CELTICS,240,45,74,13,29,29,40,9,30,25,6,7,16,20
DENVER NUGGETS,240,45,77,12,28,11,16,6,35,27,6,5,19,13
INDIANA PACERS,240,41,90,14,39,7,12,11,23,27,12,3,14,17
MILWAUKEE BUCKS,240,42,95,10,34,18,22,13,39,21,11,5,16,19
MEMPHIS GRIZZLIES,240,40,101,8,34,23,24,17,39,21,13,8,12,20
MIAMI HEAT,240,36,73,10,30,21,25,5,36,27,6,3,10,20
NEW ORLEANS PELICANS,240,33,84,11,43,16,20,15,29,28,5,3,12,21
DETROIT PISTONS,240,39,80,14,36,12,15,6,23,23,6,2,12,13
NEW YORK KNICKS,240,45,83,9,27,15,19,12,35,25,10,4,13,13
GOLDEN STATE WARRIORS,240,38,88,12,35,10,16,9,31,22,9,4,17,11
PHOENIX SUNS,240,49,96,12,30,10,13,12,40,31,8,4,16,16
SACRAMENTO KINGS,240,49,103,11,29,10,16,18,33,25,3,3,7,19
PORTLAND TRAIL BLAZERS,240,42,88,15,38,24,25,9,32,20,6,7,8,14
OKLAHOMA CITY THUNDER,240,37,85,12,40,21,26,9,36,20,9,4,16,16
SAN ANTONIO SPURS,240,40,85,10,31,12,12,6,40,23,9,5,19,24
LOS ANGELES CLIPPERS,240,38,82,16,35,25,27,10,35,24,4,4,17,31
WASHINGTON WIZARDS,240,40,88,9,23,30,42,11,30,20,12,3,9,24
