team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
GOLDEN STATE WARRIORS,240,42,104,18,47,27,30,10,31,25,17,4,12,23
CHICAGO BULLS,240,44,86,17,41,23,31,7,47,27,4,6,24,21
BROOKLYN NETS,240,35,82,17,47,17,25,6,40,23,4,5,19,17
CHARLOTTE HORNETS,240,43,96,10,34,10,17,13,39,35,8,3,12,25
PHILADELPHIA 76ERS,240,33,79,12,37,16,22,8,31,24,9,5,21,19
CLEVELAND CAVALIERS,240,48,91,9,23,13,16,11,34,31,13,6,16,22
BOSTON CELTICS,240,40,79,9,23,18,24,6,34,21,13,7,18,17
INDIANA PACERS,240,45,88,7,26,11,15,8,29,23,11,7,16,20
DALLAS MAVERICKS,240,43,87,14,41,24,27,11,43,25,10,2,6,14
LOS ANGELES CLIPPERS,240,26,76,4,33,17,20,5,31,13,2,2,12,19
MINNESOTA TIMBERWOLVES,240,38,103,6,35,9,14,17,31,24,11,6,17,24
LOS ANGELES LAKERS,240,50,90,13,35,14,18,5,41,32,6,14,17,19
SAN ANTONIO SPURS,240,38,89,11,36,8,8,4,43,26,5,10,15,23
NEW ORLEANS PELICANS,240,36,94,5,24,21,29,13,43,15,11,4,8,16
MILWAUKEE BUCKS,240,41,95,7,38,21,29,17,27,24,7,5,11,21
NEW YORK KNICKS,240,46,85,16,27,22,27,8,38,27,5,4,15,23
PHOENIX SUNS,240,46,94,14,35,10,11,8,36,34,6,3,9,20
SACRAMENTO KINGS,240,36,76,10,23,18,25,3,36,21,5,4,15,23
ORLANDO MAGIC,240,37,85,9,25,37,38,11,34,19,6,3,10,14
WASHINGTON WIZARDS,240,47,97,8,32,11,13,13,34,27,6,4,13,26
