team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
DALLAS MAVERICKS,240,45,86,14,36,11,17,6,30,23,12,8,8,15
BROOKLYN NETS,240,35,86,14,44,14,19,14,33,21,5,4,19,16
INDIANA PACERS,240,38,84,11,28,20,25,6,29,27,5,7,16,17
NEW YORK KNICKS,240,40,81,12,24,18,22,4,34,26,12,2,18,22
DENVER NUGGETS,240,49,89,15,31,13,16,6,43,30,6,3,12,16
OKLAHOMA CITY THUNDER,240,37,88,11,47,11,15,7,30,24,7,6,14,16
UTAH JAZZ,240,45,85,17,45,17,24,10,42,29,2,3,12,14
ORLANDO MAGIC,240,44,96,14,34,7,8,7,30,27,6,3,3,18
CLEVELAND CAVALIERS,265,41,97,8,24,22,29,13,39,24,12,3,16,26
PHILADELPHIA 76ERS,265,38,83,10,28,23,35,8,38,25,9,10,19,26
NEW ORLEANS PELICANS,240,40,91,9,32,25,31,17,35,27,3,2,10,17
SAN ANTONIO SPURS,240,41,86,12,32,23,28,8,30,24,7,5,8,26
MINNESOTA TIMBERWOLVES,240,41,95,11,35,19,29,12,38,23,9,10,18,29
WASHINGTON WIZARDS,240,44,98,13,33,27,34,15,42,27,6,6,16,24
