team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CLEVELAND CAVALIERS,240,34,85,10,33,25,34,11,23,24,10,8,17,23
BOSTON CELTICS,240,52,93,14,28,23,27,13,42,26,14,8,15,23
TORONTO RAPTORS,240,37,90,15,35,18,26,12,33,24,12,8,16,18
INDIANA PACERS,240,35,87,13,39,19,22,12,35,23,10,8,18,23
OKLAHOMA CITY THUNDER,240,42,95,7,35,9,14,12,39,22,7,2,10,19
LOS ANGELES CLIPPERS,240,41,92,14,46,12,16,8,38,26,4,2,10,10
ATLANTA HAWKS,240,42,83,14,39,17,22,5,22,27,8,4,9,23
MILWAUKEE BUCKS,240,50,91,10,31,19,27,16,36,32,4,2,16,16
CHARLOTTE HORNETS,240,42,88,14,36,9,16,9,34,28,10,5,12,17
ORLANDO MAGIC,240,39,87,17,38,9,13,11,32,27,4,4,15,18
NEW YORK KNICKS,240,39,86,12,29,23,25,13,34,20,9,0,12,20
PORTLAND TRAIL BLAZERS,240,39,83,17,46,21,23,9,30,19,5,8,11,16
WASHINGTON WIZARDS,240,39,92,14,42,9,14,12,38,23,5,5,14,14
SAN ANTONIO SPURS,240,48,96,15,31,10,11,5,39,27,11,5,8,14
