team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
GOLDEN STATE WARRIORS,240,41,80,17,40,15,20,8,32,22,6,2,17,23
BOSTON CELTICS,240,44,94,15,46,16,20,14,31,18,9,2,9,18
CLEVELAND CAVALIERS,240,39,88,12,30,6,7,11,33,27,6,1,10,10
CHICAGO BULLS,240,41,82,16,40,8,9,4,34,30,6,2,10,15
UTAH JAZZ,265,42,101,23,59,8,8,6,31,31,10,3,15,21
LOS ANGELES LAKERS,265,48,93,11,33,20,23,11,41,26,8,8,14,14
MEMPHIS GRIZZLIES,240,51,93,15,40,11,12,7,36,31,10,3,10,18
MILWAUKEE BUCKS,240,39,91,16,47,21,27,13,32,27,7,1,16,8
SAN ANTONIO SPURS,240,45,89,12,29,9,12,5,41,23,10,9,12,17
PHOENIX SUNS,240,36,90,6,27,7,16,15,33,19,7,2,14,14
DETROIT PISTONS,240,37,84,9,27,17,23,9,36,19,7,6,18,20
WASHINGTON WIZARDS,240,50,94,9,16,12,19,10,38,25,11,6,12,24
