team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
WASHINGTON WIZARDS,240,38,84,9,32,25,29,7,29,16,10,5,14,22
BOSTON CELTICS,240,42,89,10,30,17,24,13,36,25,7,0,18,25
NEW YORK KNICKS,240,44,86,13,26,8,10,6,35,23,9,7,11,23
DETROIT PISTONS,240,28,72,9,32,25,31,7,33,16,8,4,15,15
MEMPHIS GRIZZLIES,240,50,94,10,30,23,28,11,45,27,16,3,18,31
HOUSTON ROCKETS,240,23,83,4,45,34,41,12,26,10,7,6,23,24
GOLDEN STATE WARRIORS,240,35,86,8,34,13,19,3,32,26,10,4,20,25
LOS ANGELES LAKERS,240,40,85,11,31,26,38,14,46,22,14,6,19,21
ATLANTA HAWKS,240,36,87,8,35,19,22,16,33,22,12,6,16,20
MIAMI HEAT,240,39,86,11,37,20,22,12,33,27,8,6,14,20
LOS ANGELES CLIPPERS,240,40,97,14,44,6,7,13,36,20,7,3,8,19
MILWAUKEE BUCKS,240,38,85,12,38,17,22,8,40,21,7,5,11,11
PHOENIX SUNS,240,44,89,7,27,23,24,8,39,27,7,5,16,18
MINNESOTA TIMBERWOLVES,240,35,93,8,35,21,24,10,34,21,12,4,15,22
CHARLOTTE HORNETS,240,45,83,11,30,26,27,7,30,30,3,6,16,20
SACRAMENTO KINGS,240,50,92,16,36,10,17,9,24,32,6,2,10,19
