team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MEMPHIS GRIZZLIES,240,42,92,5,15,16,31,16,34,22,9,1,16,27
LOS ANGELES LAKERS,240,41,86,9,29,26,40,12,37,25,9,14,14,24
BOSTON CELTICS,240,44,95,10,29,29,37,16,42,21,5,6,10,26
MINNESOTA TIMBERWOLVES,240,36,89,15,42,30,35,8,35,23,8,10,8,27
INDIANA PACERS,240,36,88,8,28,26,33,12,38,20,7,5,11,22
NEW YORK KNICKS,240,35,81,11,25,17,25,5,35,21,7,7,15,26
DENVER NUGGETS,240,37,77,6,27,21,23,8,31,19,7,3,19,20
OKLAHOMA CITY THUNDER,240,40,87,9,26,24,27,14,30,19,12,3,12,19
DALLAS MAVERICKS,240,43,84,15,38,21,26,8,42,26,6,7,15,14
ORLANDO MAGIC,240,41,104,9,43,15,19,16,32,21,11,2,7,22
NEW ORLEANS PELICANS,240,45,84,18,34,20,33,9,37,36,8,3,17,23
PORTLAND TRAIL BLAZERS,240,43,94,10,27,19,25,13,33,20,7,9,14,22
PHOENIX SUNS,240,38,92,6,34,19,23,10,24,29,12,3,17,23
TORONTO RAPTORS,240,42,80,14,37,20,22,7,41,24,7,13,22,20
SAN ANTONIO SPURS,240,40,91,10,20,23,26,7,41,22,12,7,6,20
UTAH JAZZ,240,35,82,12,33,22,26,6,41,25,4,6,17,18
CLEVELAND CAVALIERS,240,43,81,11,27,16,25,10,37,19,3,6,21,24
WASHINGTON WIZARDS,240,41,106,9,37,17,23,17,30,24,12,3,11,26
