team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
INDIANA PACERS,240,47,83,8,25,12,16,4,23,27,18,8,11,16
CLEVELAND CAVALIERS,240,43,83,11,28,14,15,11,32,29,8,1,25,18
OKLAHOMA CITY THUNDER,240,29,87,9,39,11,17,8,37,13,6,4,13,20
DALLAS MAVERICKS,240,32,83,8,40,15,19,7,46,18,8,3,12,13
BROOKLYN NETS,240,49,85,17,35,17,24,10,43,33,5,1,14,24
HOUSTON ROCKETS,240,38,91,18,43,20,28,12,25,24,10,5,9,18
CHARLOTTE HORNETS,240,51,98,17,39,16,21,13,41,33,14,7,17,18
MINNESOTA TIMBERWOLVES,240,39,96,9,40,15,18,12,33,25,11,2,19,18
CHICAGO BULLS,240,48,94,12,28,20,22,13,32,28,6,8,14,21
NEW ORLEANS PELICANS,240,46,83,6,22,26,38,7,28,29,10,6,11,19
ATLANTA HAWKS,240,38,85,21,45,18,19,6,36,26,7,5,12,25
ORLANDO MAGIC,240,36,84,13,35,27,27,10,36,24,6,5,10,15
UTAH JAZZ,265,44,100,21,44,14,19,12,40,22,7,1,16,24
PHILADELPHIA 76ERS,265,48,93,8,25,27,35,8,42,22,9,6,11,17
GOLDEN STATE WARRIORS,240,41,97,15,42,9,14,17,37,27,8,1,11,24
PORTLAND TRAIL BLAZERS,240,36,86,14,49,22,26,8,39,15,5,4,10,16
LOS ANGELES LAKERS,240,49,93,12,27,10,14,15,26,27,7,3,11,19
SACRAMENTO KINGS,240,48,80,12,25,15,19,6,24,32,5,1,13,19
DETROIT PISTONS,240,48,91,20,41,13,21,12,37,39,11,4,12,28
TORONTO RAPTORS,240,34,77,12,36,25,30,7,27,17,6,5,14,20
