team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
WASHINGTON WIZARDS,240,41,88,11,29,14,16,7,31,22,9,4,17,24
BOSTON CELTICS,240,41,86,12,32,22,30,11,38,21,11,4,21,22
PHOENIX SUNS,265,41,91,17,52,6,13,9,41,24,10,7,21,25
DETROIT PISTONS,265,37,90,11,34,25,29,9,37,23,13,4,14,14
LOS ANGELES CLIPPERS,240,40,83,14,31,11,13,10,27,23,6,5,18,16
GOLDEN STATE WARRIORS,240,40,82,20,41,15,18,9,29,25,13,3,15,19
ORLANDO MAGIC,240,34,89,8,29,14,16,9,33,17,5,2,12,13
HOUSTON ROCKETS,240,51,91,22,47,8,11,7,42,34,6,8,8,18
CHICAGO BULLS,240,46,91,10,26,13,14,9,32,26,10,3,12,23
LOS ANGELES LAKERS,240,41,81,12,29,23,27,10,32,21,3,8,15,15
BROOKLYN NETS,240,38,81,14,31,20,21,4,38,26,6,4,20,13
MEMPHIS GRIZZLIES,240,45,98,13,32,12,14,12,34,29,14,6,12,18
UTAH JAZZ,240,49,97,25,53,8,13,10,40,31,6,8,10,18
MILWAUKEE BUCKS,240,44,98,13,42,17,21,9,36,18,5,5,12,19
CHARLOTTE HORNETS,240,41,87,16,42,20,25,16,29,33,10,4,14,20
NEW ORLEANS PELICANS,240,38,77,15,38,19,26,10,26,29,6,4,19,17
OKLAHOMA CITY THUNDER,240,38,87,11,34,14,21,11,51,16,2,7,11,19
NEW YORK KNICKS,240,34,96,9,27,12,20,11,38,19,8,7,4,19
TORONTO RAPTORS,240,53,91,20,39,18,22,12,32,30,8,5,12,20
SACRAMENTO KINGS,240,46,81,15,34,16,28,3,23,36,9,8,11,18
