team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
TORONTO RAPTORS,240,56,101,22,47,16,22,12,45,39,9,6,10,26
BROOKLYN NETS,240,39,98,19,50,25,33,12,32,21,5,6,14,17
LOS ANGELES CLIPPERS,265,45,97,14,38,29,32,8,33,19,7,5,9,23
DALLAS MAVERICKS,265,52,104,13,36,18,24,11,43,20,7,5,11,24
BOSTON CELTICS,240,38,82,12,35,22,29,10,32,19,4,5,14,25
PHILADELPHIA 76ERS,240,35,82,9,34,27,34,8,31,12,7,5,8,25
DENVER NUGGETS,240,49,100,17,44,12,13,17,23,25,2,4,6,24
UTAH JAZZ,240,42,73,14,29,31,36,6,31,14,2,0,10,19
