team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
ORLANDO MAGIC,240,35,87,9,36,13,15,4,31,19,8,1,18,10
BROOKLYN NETS,240,49,92,20,45,11,14,7,44,30,11,2,13,18
WASHINGTON WIZARDS,240,41,86,8,26,22,25,10,32,24,9,2,11,20
DENVER NUGGETS,240,37,85,15,38,21,24,12,32,23,6,7,18,20
LOS ANGELES CLIPPERS,240,34,84,12,34,14,16,8,33,19,4,4,14,15
MEMPHIS GRIZZLIES,240,50,92,11,19,11,16,7,41,27,7,1,6,17
NEW ORLEANS PELICANS,240,51,102,13,39,10,14,12,35,32,5,4,9,17
MILWAUKEE BUCKS,240,52,96,13,31,12,16,8,34,21,4,8,9,13
SACRAMENTO KINGS,240,42,85,12,35,25,33,8,26,25,12,0,16,22
NEW YORK KNICKS,240,51,87,19,36,19,21,9,34,24,8,2,16,23
DALLAS MAVERICKS,240,32,78,13,34,20,23,10,40,17,2,9,18,21
PHILADELPHIA 76ERS,240,39,90,12,29,21,25,8,31,26,11,6,7,19
