team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
WASHINGTON WIZARDS,240,34,88,10,26,18,24,18,38,22,11,6,18,19
BOSTON CELTICS,240,35,88,8,35,12,14,13,38,22,8,7,18,19
PORTLAND TRAIL BLAZERS,240,50,104,13,39,21,24,14,28,25,10,4,9,21
BROOKLYN NETS,240,53,96,14,33,13,19,12,34,28,5,5,14,23
SACRAMENTO KINGS,240,54,95,21,47,7,12,9,35,37,12,2,14,15
LOS ANGELES LAKERS,240,48,98,15,35,11,15,15,32,29,6,1,17,18
MILWAUKEE BUCKS,240,39,98,13,41,15,23,9,36,27,8,3,15,22
MEMPHIS GRIZZLIES,240,45,90,13,33,16,23,9,46,36,4,3,18,18
NEW ORLEANS PELICANS,240,48,87,10,34,21,27,9,31,22,6,4,13,22
ORLANDO MAGIC,240,48,84,15,28,22,30,6,27,25,6,2,12,22
DALLAS MAVERICKS,240,39,89,8,26,16,19,11,32,17,3,4,11,18
PHOENIX SUNS,240,49,89,14,34,16,21,7,38,34,6,4,5,14
SAN ANTONIO SPURS,240,39,79,10,20,24,36,9,35,24,4,8,15,20
UTAH JAZZ,240,47,101,15,46,9,10,12,31,25,7,5,8,23
