team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
BROOKLYN NETS,240,43,86,11,30,14,16,8,26,30,8,6,15,22
DETROIT PISTONS,240,47,84,13,29,15,21,7,30,28,10,6,13,16
NEW YORK KNICKS,240,37,87,10,28,12,16,11,35,22,8,5,14,25
MIAMI HEAT,240,26,70,14,33,32,39,6,32,21,5,6,10,14
HOUSTON ROCKETS,240,38,91,13,43,12,21,12,25,24,5,4,12,23
NEW ORLEANS PELICANS,240,47,92,12,31,24,28,15,40,31,7,6,9,20
ORLANDO MAGIC,240,37,88,11,35,12,22,10,43,22,7,3,10,11
PORTLAND TRAIL BLAZERS,240,35,90,18,46,18,19,9,45,18,6,6,8,17
PHILADELPHIA 76ERS,240,41,85,9,20,28,35,12,47,24,4,5,17,22
SACRAMENTO KINGS,240,43,99,14,42,11,19,8,31,24,6,8,11,28
GOLDEN STATE WARRIORS,240,42,91,17,40,13,19,10,40,26,8,4,10,19
SAN ANTONIO SPURS,240,32,86,8,24,19,21,8,37,20,2,5,14,16
BOSTON CELTICS,240,38,86,13,29,19,23,11,24,18,2,2,8,25
UTAH JAZZ,240,40,84,18,48,24,27,10,31,28,4,7,10,22
