team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
ORLANDO MAGIC,240,38,94,7,28,14,22,15,31,14,5,1,11,16
BOSTON CELTICS,240,45,88,17,42,17,19,6,39,25,7,4,10,18
NEW YORK KNICKS,240,40,82,9,25,14,16,7,32,20,9,10,12,21
CLEVELAND CAVALIERS,240,36,79,9,27,25,34,14,34,26,9,6,15,18
NEW ORLEANS PELICANS,240,41,86,9,29,4,8,10,37,22,3,5,20,21
LOS ANGELES LAKERS,240,39,93,15,37,19,26,13,31,31,11,6,6,16
DALLAS MAVERICKS,240,45,97,13,36,6,13,11,40,22,5,6,9,23
MILWAUKEE BUCKS,240,43,96,14,37,12,25,16,41,22,5,3,10,14
CHICAGO BULLS,265,43,91,21,46,18,25,9,47,27,5,8,24,25
OKLAHOMA CITY THUNDER,265,48,105,15,45,16,24,7,37,26,12,2,11,23
LOS ANGELES CLIPPERS,240,52,89,18,35,16,20,12,35,29,10,3,9,19
SACRAMENTO KINGS,240,40,85,8,26,12,17,9,23,23,4,2,14,16
ATLANTA HAWKS,240,38,92,5,28,11,15,8,33,21,6,1,15,16
UTAH JAZZ,240,43,92,20,44,10,14,12,41,27,7,6,19,18
