team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
WASHINGTON WIZARDS,240,34,90,9,40,20,28,12,36,22,6,5,14,18
CHARLOTTE HORNETS,240,42,99,15,36,20,26,18,41,21,6,6,11,25
UTAH JAZZ,240,38,92,13,42,14,21,16,44,22,2,4,14,17
INDIANA PACERS,240,37,93,8,29,13,18,8,37,23,9,6,9,22
SACRAMENTO KINGS,240,46,94,10,29,11,15,11,41,25,5,4,12,18
LOS ANGELES CLIPPERS,240,41,99,8,28,20,23,16,37,19,8,5,9,16
MIAMI HEAT,240,40,83,13,35,16,20,6,38,25,6,1,11,15
NEW YORK KNICKS,240,38,85,16,42,11,15,10,34,23,8,2,12,20
BOSTON CELTICS,240,33,93,17,44,8,12,13,28,19,6,2,5,11
PHOENIX SUNS,240,40,82,8,29,12,12,9,41,25,4,5,10,15
