team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CLEVELAND CAVALIERS,240,38,91,7,29,13,17,15,31,19,10,2,15,21
ATLANTA HAWKS,240,35,85,11,32,10,19,15,33,22,9,5,20,20
SACRAMENTO KINGS,240,35,90,9,28,15,21,14,33,11,5,4,14,21
HOUSTON ROCKETS,240,36,81,13,41,17,23,6,42,15,10,10,13,22
NEW YORK KNICKS,240,42,83,12,27,10,13,10,41,23,4,3,15,16
INDIANA PACERS,240,34,84,19,50,15,18,5,27,22,6,4,8,21
TORONTO RAPTORS,240,38,91,14,48,26,27,10,30,21,6,4,9,29
NEW ORLEANS PELICANS,240,35,83,14,38,36,47,14,36,26,6,7,12,18
OKLAHOMA CITY THUNDER,240,38,86,13,41,19,21,6,46,22,5,5,10,17
ORLANDO MAGIC,240,40,108,10,38,9,12,15,40,21,7,1,6,18
CHARLOTTE HORNETS,240,38,92,13,35,23,26,14,26,34,15,5,12,18
PHILADELPHIA 76ERS,240,47,79,16,35,17,24,7,38,35,10,7,21,17
