team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
BOSTON CELTICS,240,41,91,13,40,14,22,11,28,22,10,10,11,13
BROOKLYN NETS,240,42,88,19,42,18,22,11,34,21,3,5,14,22
PHILADELPHIA 76ERS,240,53,103,10,33,11,15,13,32,25,11,7,10,16
CHICAGO BULLS,240,39,83,14,29,13,16,8,30,26,3,6,19,19
DETROIT PISTONS,240,38,85,15,46,11,14,11,39,27,6,5,14,21
CHARLOTTE HORNETS,240,36,90,10,30,23,24,12,33,26,9,3,9,14
GOLDEN STATE WARRIORS,240,38,88,9,36,19,27,5,39,20,6,6,16,23
LOS ANGELES CLIPPERS,240,44,96,18,41,24,29,11,45,23,10,6,11,22
ORLANDO MAGIC,240,39,96,12,34,13,15,16,41,22,6,4,14,19
MIAMI HEAT,240,41,91,16,49,13,22,9,35,27,8,4,10,16
NEW YORK KNICKS,240,37,88,13,37,14,21,10,28,19,3,5,14,19
MILWAUKEE BUCKS,240,50,87,18,38,16,17,5,38,29,9,9,12,18
MINNESOTA TIMBERWOLVES,240,51,95,19,40,14,16,7,31,28,11,10,11,20
NEW ORLEANS PELICANS,240,43,100,6,32,13,24,19,32,28,7,6,18,18
DALLAS MAVERICKS,240,35,82,15,34,23,33,6,31,20,4,9,6,22
OKLAHOMA CITY THUNDER,240,41,91,16,32,18,20,16,39,25,2,6,9,24
PHOENIX SUNS,240,49,83,13,24,16,19,5,33,28,6,1,13,20
PORTLAND TRAIL BLAZERS,240,43,94,18,43,17,19,15,26,26,8,2,11,18
HOUSTON ROCKETS,240,41,99,11,45,12,17,10,34,24,7,6,13,22
SACRAMENTO KINGS,240,45,92,11,33,24,28,8,45,25,11,5,12,19
ATLANTA HAWKS,240,39,90,15,42,28,35,12,41,20,8,13,14,26
TORONTO RAPTORS,240,42,96,17,37,19,23,13,37,23,8,4,14,25
