team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
UTAH JAZZ,240,44,91,13,27,11,13,12,40,19,7,4,14,20
ATLANTA HAWKS,240,32,98,9,31,18,19,18,31,19,8,1,11,15
GOLDEN STATE WARRIORS,240,51,89,22,43,23,27,4,41,37,6,6,8,19
DALLAS MAVERICKS,240,38,92,20,50,20,23,10,32,26,2,3,10,24
DENVER NUGGETS,240,36,92,8,28,13,15,16,26,19,9,2,15,23
LOS ANGELES LAKERS,240,46,81,8,24,14,22,8,32,29,10,7,16,19
HOUSTON ROCKETS,240,41,87,19,45,14,17,8,36,26,8,3,14,19
MEMPHIS GRIZZLIES,240,37,87,12,35,17,24,11,32,28,10,6,13,15
PORTLAND TRAIL BLAZERS,240,45,98,13,31,18,23,19,34,17,8,5,11,18
PHILADELPHIA 76ERS,240,39,81,7,27,20,24,8,29,19,6,3,18,15
