team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
DALLAS MAVERICKS,240,43,93,13,40,23,25,13,32,27,8,7,10,19
ATLANTA HAWKS,240,45,90,14,38,12,17,13,33,31,6,4,16,20
NEW YORK KNICKS,240,43,89,11,22,10,15,11,36,19,5,4,17,18
CHICAGO BULLS,240,43,88,6,36,11,16,6,32,25,11,3,9,14
PHILADELPHIA 76ERS,240,41,79,10,24,26,32,10,30,23,9,6,18,21
CHARLOTTE HORNETS,240,39,87,14,37,19,23,10,27,28,5,4,16,22
LOS ANGELES CLIPPERS,240,44,79,20,34,13,17,8,38,22,4,6,14,20
CLEVELAND CAVALIERS,240,41,92,4,10,13,17,11,26,21,8,6,8,14
WASHINGTON WIZARDS,240,35,84,15,37,18,25,14,35,20,6,5,17,17
MIAMI HEAT,240,36,83,12,35,16,22,9,35,24,11,2,13,21
INDIANA PACERS,240,43,95,11,34,13,15,8,38,28,7,6,14,13
MILWAUKEE BUCKS,240,48,102,21,48,13,14,11,42,33,13,7,12,11
PHOENIX SUNS,240,38,82,8,35,17,20,11,28,26,3,6,14,18
NEW ORLEANS PELICANS,240,46,90,14,33,17,21,12,32,30,7,3,7,20
HOUSTON ROCKETS,240,33,86,12,46,9,13,5,36,21,11,4,20,18
OKLAHOMA CITY THUNDER,240,36,83,10,33,22,26,5,46,19,13,5,21,14
BOSTON CELTICS,240,39,86,11,33,22,29,11,34,28,9,3,13,21
SACRAMENTO KINGS,240,42,92,13,37,19,23,12,32,23,7,2,10,19
MINNESOTA TIMBERWOLVES,240,43,94,13,33,9,11,9,40,22,6,9,10,21
SAN ANTONIO SPURS,240,43,96,7,26,18,24,7,38,28,5,6,7,13
