team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
DENVER NUGGETS,240,44,88,18,37,10,16,9,23,28,12,5,13,18
BROOKLYN NETS,240,48,79,16,32,10,15,8,33,31,6,6,18,18
UTAH JAZZ,240,42,84,24,45,9,12,10,38,26,8,8,16,16
CLEVELAND CAVALIERS,240,35,90,8,31,9,14,12,28,23,7,4,12,13
INDIANA PACERS,240,39,88,9,28,17,25,10,40,26,9,9,14,17
GOLDEN STATE WARRIORS,240,34,89,13,38,14,22,10,36,25,8,8,15,21
LOS ANGELES LAKERS,240,42,84,14,32,19,27,11,44,26,10,12,20,18
HOUSTON ROCKETS,240,38,97,12,40,12,16,10,32,23,14,5,13,19
SAN ANTONIO SPURS,240,41,95,10,35,20,22,7,39,26,8,5,4,20
OKLAHOMA CITY THUNDER,240,36,83,7,26,23,29,7,45,18,1,5,13,20
MIAMI HEAT,265,48,104,19,56,19,24,14,32,27,6,4,18,21
PHILADELPHIA 76ERS,265,50,102,19,55,18,25,16,36,32,10,6,17,21
