team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
ATLANTA HAWKS,240,38,84,17,39,12,16,7,34,27,7,1,11,11
CHARLOTTE HORNETS,240,37,80,15,43,12,14,6,32,28,5,5,12,14
NEW ORLEANS PELICANS,240,44,86,7,24,21,26,14,36,30,9,3,16,16
CLEVELAND CAVALIERS,240,41,85,13,40,14,17,9,27,29,7,5,17,23
SAN ANTONIO SPURS,240,45,83,8,21,21,27,10,31,20,10,7,14,20
DALLAS MAVERICKS,240,45,94,13,42,14,15,11,26,25,5,3,12,21
BOSTON CELTICS,240,39,87,7,33,20,23,10,42,20,4,7,9,18
DENVER NUGGETS,240,32,88,8,34,15,18,13,33,23,5,4,9,20
DETROIT PISTONS,240,46,87,15,32,17,19,12,19,33,12,4,12,24
LOS ANGELES CLIPPERS,240,50,80,15,27,16,21,7,30,35,4,5,16,18
INDIANA PACERS,240,52,99,13,37,15,17,15,38,35,5,10,12,16
MEMPHIS GRIZZLIES,240,53,115,6,20,13,19,24,26,27,11,6,6,12
CHICAGO BULLS,240,47,92,15,38,8,13,8,30,30,10,8,13,19
MINNESOTA TIMBERWOLVES,240,40,81,16,36,25,25,3,33,27,7,6,14,14
TORONTO RAPTORS,240,33,79,11,34,19,23,5,35,19,8,7,15,23
NEW YORK KNICKS,240,35,88,9,35,23,27,11,35,19,9,4,13,19
MILWAUKEE BUCKS,240,46,94,19,40,13,15,12,44,28,8,7,11,15
ORLANDO MAGIC,240,32,86,8,36,15,19,7,30,19,8,6,14,13
MIAMI HEAT,240,41,83,12,29,13,20,6,24,21,12,4,7,18
PORTLAND TRAIL BLAZERS,240,37,77,11,35,13,19,8,33,21,5,5,17,16
