team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MILWAUKEE BUCKS,240,46,90,14,35,15,18,11,41,19,4,6,16,20
BOSTON CELTICS,240,48,101,18,40,8,11,10,27,23,8,6,6,17
ATLANTA HAWKS,240,43,80,14,35,24,29,8,38,24,6,3,21,29
CHICAGO BULLS,240,36,87,8,35,24,28,8,29,20,10,3,15,22
CHARLOTTE HORNETS,240,45,90,16,44,8,15,8,24,29,10,4,15,17
CLEVELAND CAVALIERS,240,46,87,14,30,15,20,10,40,34,12,3,18,22
SACRAMENTO KINGS,265,45,102,10,31,24,31,18,36,27,5,7,14,29
DENVER NUGGETS,265,47,98,8,29,20,24,10,36,28,6,11,15,25
NEW YORK KNICKS,240,39,85,12,28,17,23,5,35,25,8,8,16,27
INDIANA PACERS,240,46,94,8,34,21,29,10,40,28,6,9,13,24
SAN ANTONIO SPURS,240,48,95,10,25,25,29,8,40,28,8,8,10,18
MEMPHIS GRIZZLIES,240,49,95,10,27,11,18,5,37,27,6,8,11,20
DETROIT PISTONS,240,45,93,8,35,3,8,7,37,29,5,2,12,20
MINNESOTA TIMBERWOLVES,240,38,88,11,41,24,28,12,36,25,6,5,11,16
MIAMI HEAT,240,42,83,7,20,16,19,7,36,25,11,2,22,21
ORLANDO MAGIC,240,42,88,10,28,19,30,11,30,23,15,3,17,19
WASHINGTON WIZARDS,240,39,85,13,27,16,23,5,35,28,7,4,19,26
PHILADELPHIA 76ERS,240,41,87,8,28,23,30,10,37,22,11,8,16,25
DALLAS MAVERICKS,240,36,85,9,37,21,26,6,33,17,6,0,11,23
PHOENIX SUNS,240,38,79,11,30,19,27,6,42,21,7,7,18,26
UTAH JAZZ,240,43,94,19,50,15,19,12,47,24,3,3,11,16
PORTLAND TRAIL BLAZERS,240,37,92,12,33,14,17,6,34,23,6,3,6,18
NEW ORLEANS PELICANS,240,42,80,19,42,10,20,8,37,30,13,7,24,17
TORONTO RAPTORS,240,38,89,14,46,9,12,7,28,26,10,5,20,22
