team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
DENVER NUGGETS,240,38,84,9,34,14,15,11,27,25,12,3,17,18
BOSTON CELTICS,240,39,81,15,42,19,21,10,33,26,7,1,20,22
NEW ORLEANS PELICANS,240,56,91,19,38,13,17,11,36,33,14,4,19,19
MEMPHIS GRIZZLIES,240,42,88,13,31,16,18,9,23,23,10,0,19,18
TORONTO RAPTORS,240,46,91,17,43,15,21,8,36,25,8,6,15,18
MILWAUKEE BUCKS,240,40,83,14,37,19,25,5,36,25,10,5,17,17
LOS ANGELES LAKERS,240,42,77,11,26,17,21,6,32,20,8,8,18,14
MINNESOTA TIMBERWOLVES,240,39,93,16,34,10,13,11,27,26,11,4,15,27
PORTLAND TRAIL BLAZERS,240,42,96,20,47,11,17,15,39,26,6,8,10,23
OKLAHOMA CITY THUNDER,240,37,85,10,33,20,27,7,39,23,6,3,11,16
BROOKLYN NETS,240,47,82,20,40,14,15,4,33,28,4,4,10,11
PHOENIX SUNS,240,48,88,16,37,12,12,4,30,28,7,3,6,15
