team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
DETROIT PISTONS,265,44,97,10,31,17,19,7,35,22,9,3,13,28
ATLANTA HAWKS,265,44,100,9,23,26,38,23,40,21,6,10,13,15
BROOKLYN NETS,290,48,106,15,41,24,27,13,39,30,8,11,16,24
CLEVELAND CAVALIERS,290,56,109,20,40,15,21,12,38,29,10,6,14,21
SAN ANTONIO SPURS,240,35,94,4,33,25,31,12,31,17,7,2,10,15
GOLDEN STATE WARRIORS,240,46,91,15,38,14,20,10,44,31,6,2,14,22
PHOENIX SUNS,240,42,89,8,34,17,19,8,37,25,6,11,17,21
HOUSTON ROCKETS,240,37,88,10,31,19,22,7,32,17,11,5,16,19
DALLAS MAVERICKS,240,51,97,8,27,14,17,9,40,32,5,6,8,17
INDIANA PACERS,240,41,92,16,39,14,21,8,30,21,6,3,10,20
SACRAMENTO KINGS,240,39,86,13,28,5,12,4,35,25,11,4,18,15
LOS ANGELES CLIPPERS,240,41,86,16,35,17,18,6,42,24,14,6,16,15
ORLANDO MAGIC,240,36,92,10,31,15,21,13,35,26,5,8,11,17
MINNESOTA TIMBERWOLVES,240,36,85,15,35,9,14,8,35,25,5,12,13,20
BOSTON CELTICS,240,42,89,12,33,13,20,10,35,22,3,0,16,29
PHILADELPHIA 76ERS,240,36,78,9,27,36,45,11,30,20,12,3,9,20
MIAMI HEAT,240,39,80,18,40,15,17,8,38,29,4,5,18,19
TORONTO RAPTORS,240,35,88,16,49,16,18,12,29,27,8,3,12,21
