team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
BOSTON CELTICS,240,42,95,8,31,20,23,12,24,20,10,6,6,16
ATLANTA HAWKS,240,45,85,23,42,14,17,12,33,27,4,5,17,23
MINNESOTA TIMBERWOLVES,265,47,104,12,38,20,21,13,28,28,11,4,17,24
CHICAGO BULLS,265,55,93,10,25,13,16,7,36,28,11,5,21,15
HOUSTON ROCKETS,240,36,90,10,33,14,17,9,24,18,8,8,7,15
CLEVELAND CAVALIERS,240,43,85,16,36,10,15,11,44,24,4,10,16,20
GOLDEN STATE WARRIORS,240,39,83,5,26,28,31,8,33,27,10,4,18,25
INDIANA PACERS,240,37,81,7,29,26,32,7,32,20,11,6,19,22
TORONTO RAPTORS,240,37,74,20,44,14,17,3,29,30,5,3,14,25
MIAMI HEAT,240,37,80,17,38,25,29,11,31,31,6,4,11,21
DETROIT PISTONS,240,47,89,13,36,11,16,9,29,31,8,6,13,23
NEW ORLEANS PELICANS,240,50,90,10,23,18,29,12,33,31,10,6,12,10
SAN ANTONIO SPURS,240,40,86,9,25,10,15,6,38,20,10,4,12,13
OKLAHOMA CITY THUNDER,240,37,89,18,44,10,11,10,42,21,6,4,17,14
CHARLOTTE HORNETS,240,43,88,13,36,25,27,9,37,24,8,5,13,21
PHOENIX SUNS,240,44,87,14,38,19,27,7,34,26,9,6,14,25
LOS ANGELES LAKERS,240,34,85,8,33,13,20,12,33,17,5,4,14,15
UTAH JAZZ,240,41,87,22,48,10,15,14,39,28,7,1,12,16
