team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
SACRAMENTO KINGS,240,44,98,8,29,18,22,12,29,22,8,3,7,18
CHICAGO BULLS,240,49,82,11,23,13,15,2,36,24,5,8,14,23
GOLDEN STATE WARRIORS,240,37,85,13,39,13,17,9,30,23,10,3,14,12
CHARLOTTE HORNETS,240,37,75,20,40,8,9,4,40,23,7,2,24,22
MIAMI HEAT,240,36,85,8,28,16,23,10,39,24,8,3,14,20
LOS ANGELES LAKERS,240,33,84,13,45,15,17,6,37,25,5,6,14,17
PHOENIX SUNS,240,46,86,24,46,12,13,5,36,35,5,7,10,14
MEMPHIS GRIZZLIES,240,36,93,5,33,20,23,17,32,19,5,4,12,12
WASHINGTON WIZARDS,240,45,89,6,26,22,29,12,42,23,8,3,17,19
PORTLAND TRAIL BLAZERS,240,37,103,19,55,18,25,17,33,19,10,7,12,22
